src,tgt,length_km
301541,307564,10.103368352744509
307564,308806,42.50578799701917
305984,307564,14.295765097340139
304073,307564,27.78027728145394
307564,308471,46.70628973740034
300105,307564,9.027124555546129
300144,309843,2.5350438056779767
303620,309843,14.334136241013791
301745,305885,2.4179240349452273
306444,308786,0.5803725849260367
308786,309663,16.2686845632156
306060,306844,26.877626514127957
303169,306844,15.640860546952387
306844,308806,1.3958202934805441
304073,306844,15.863246306507913
300105,306844,48.36949387081934
306844,309758,6.868222611780003
306060,306369,27.076129991357554
306279,306369,28.916114965836854
301614,306369,32.46875320511561
304073,306369,34.04189426368978
306369,308269,34.016803156999444
306369,306450,35.523264959057705
306060,306224,20.103862349481375
303169,306060,11.319874941181215
301541,306060,8.272321871480873
306060,308806,27.590897752700133
306060,308907,8.57114989972729
306060,306279,27.168488599117985
301614,306060,7.022388201312523
302798,306060,11.934602047468276
304073,306060,12.83109927540137
306060,308269,7.610294323330248
306060,308471,31.79139949308128
306060,306450,10.258934494774529
300105,306060,23.300261491810993
303169,306224,11.445173356968478
306224,306279,31.549801704801755
301614,306224,25.496485563239442
304073,306224,25.599739242051104
306224,308269,27.044535515123275
306224,306450,28.550997317181547
303169,308806,16.34588561150752
303169,306279,31.099171948040315
301614,303169,15.404741964395589
303169,304073,15.24692518773338
303169,308269,16.95279191627941
303169,308471,20.546387351888665
303169,306450,18.459253718337685
300105,303169,32.81174229787261
303169,309758,21.075022623239356
301541,308907,2.2970785318538356
301541,306279,24.608273001110387
300648,301541,7.155646812024085
300105,301541,16.680345465116837
304073,308806,16.576517545080087
308581,308806,16.422741145500755
308471,308806,5.134890344413389
300105,308806,49.0827651093915
308806,310179,13.205306192183606
302798,308907,6.050981360531169
300648,308907,8.747285551746725
303899,308206,2.952940390057267
306768,308206,3.108100796290364
300408,301517,9.92143805737456
301614,306279,33.47027239653252
304073,306279,36.03155108848006
306279,308269,34.34749102125566
306279,306450,36.52478415047461
300105,306279,10.49479415248209
301214,307693,5.023777408304147
301214,301636,18.695232068019017
300429,301214,20.087237239677336
301214,309569,12.784533613842193
301214,306489,0.7744134788848472
301214,310199,1.4959671723131
300408,305984,17.56906839754622
300105,300408,2.00122657789198
301614,309042,5.7691651597007185
301614,304073,10.183886991971722
301614,308269,2.2540592123775576
301614,306450,6.024247763139201
300648,302798,12.082566681749917
302798,307785,3.225069679164109
301636,307693,16.253194616256998
