u,u_name,u_kv,u_lines,v,v_name,v_kv,v_lines,length_km
303169,LIGHTPIPE,230,9,306844,LA FRESA,230,12,15.640860546952387
301194,STATION G (ATWATER),230,8,307785,WABASH,69,4,15.559520013958558
301614,PULPGEN,66,3,303169,LIGHTPIPE,230,9,15.404741964395589
303169,LIGHTPIPE,230,9,304073,STATION B (CENTURY),230,8,15.24692518773338
303540,CARSON,66,1,304073,STATION B (CENTURY),230,8,15.08729373434874
304073,STATION B (CENTURY),230,8,304137,HALLDALE,138,3,14.962772879870045
300558,GANESHA,66,5,301517,NOGALES,66,0,14.896786584443795
303169,LIGHTPIPE,230,9,304137,HALLDALE,138,3,14.732140946297486
303169,LIGHTPIPE,230,9,310504,BANDINI,66,2,14.630154884785442
300429,STATION E (TOLUCA),500,15,301156,BEVERLY,66,4,14.42584013327536
303620,TARZANA(STATION U),230,7,309843,KENTER CANYON,230,2,14.334136241013791
300429,STATION E (TOLUCA),500,15,301636,SAN FERNANDO,66,1,14.2662217902224
301100,UNKNOWN301100,230,1,301105,STATION K (OLYMPIC),230,8,14.25407785883228
308471,TORRANCE,66,2,309156,FELTON,66,2,14.225015768873972
304137,HALLDALE,138,3,304450,HARBORGEN,230,4,14.20213537027169
300232,CENTER,230,7,301614,PULPGEN,66,3,14.181820256603022
302164,BRIGHTON,115,2,303540,CARSON,66,1,14.078695878400396
300829,GOULD,230,2,303371,GOODRICH,230,5,13.91811600638608
301558,EAGLE ROCK,230,9,310527,STATION A (ST. JOHN),230,5,13.889199678311398
301558,EAGLE ROCK,230,9,307512,GRAYSON,230,2,13.773314402599254
306444,STANHILL,66,0,310204,EL NIDO,230,7,13.72665025495396
301637,STATION N (AIRPORT),138,4,309758,YUKON,66,5,13.603908508905697
301156,BEVERLY,66,4,303099,STATION D (FAIRFAX),138,8,13.52063304043796
300232,CENTER,230,7,310504,BANDINI,66,2,13.407233176992875
308806,MOBILOIL,66,3,310179,WILMINGTON (STATION C),138,8,13.205306192183606
304137,HALLDALE,138,3,307274,CAMERON,69,1,13.175706249618448
304073,STATION B (CENTURY),230,8,309042,RIVER,230,9,13.077451018279897
303540,CARSON,66,1,310179,WILMINGTON (STATION C),138,8,13.077256981191056
300232,CENTER,230,7,306224,LAKEWOOD,66,2,12.996929156243922
300390,HINSON,230,7,304137,HALLDALE,138,3,12.961579150094282
300144,STATION 11,138,1,301156,BEVERLY,66,4,12.939664094928432
301543,SEPLUVEDA,66,0,306444,STANHILL,66,0,12.92687492835188
303099,STATION D (FAIRFAX),138,8,309663,TAHITI,230,1,12.913886800380832
304073,STATION B (CENTURY),230,8,306060,LAGUNA BELL,230,12,12.83109927540137
300429,STATION E (TOLUCA),500,15,301194,STATION G (ATWATER),230,8,12.82785376462796
301214,OLIVE,230,2,309569,STATION M(VALLEY),230,7,12.784533613842193
301543,SEPLUVEDA,66,0,309758,YUKON,66,5,12.615880613870818
309758,YUKON,66,5,310204,EL NIDO,230,7,12.593900864814747
302798,REPETTO,66,2,310504,BANDINI,66,2,12.55435634480924
303540,CARSON,66,1,306844,LA FRESA,230,12,12.5317951889026
300105,WALNUT,230,5,307564,JOSE,66,0,12.460011728217536
300232,CENTER,230,7,303169,LIGHTPIPE,230,9,12.45597230110574
301194,STATION G (ATWATER),230,8,306768,UNKNOWN306768,230,0,12.356911701186386
304137,HALLDALE,138,3,308581,STATION Q (HARBOR),138,3,12.340352778705569
300648,ROSEMEAD,66,4,305984,RIO HONDO,230,8,12.33486006876089
302187,DEL AMO,230,10,306369,LA MIRADA,66,1,12.098755720122922
300648,ROSEMEAD,66,4,302798,REPETTO,66,2,12.082566681749917
301543,SEPLUVEDA,66,0,306623,GRAMERCY,138,6,11.988621737640278
306623,GRAMERCY,138,6,310204,EL NIDO,230,7,11.966641988584207
302798,REPETTO,66,2,306060,LAGUNA BELL,230,12,11.934602047468276
300144,STATION 11,138,1,303099,STATION D (FAIRFAX),138,8,11.793987997477313
303540,CARSON,66,1,307274,CAMERON,69,1,11.761665442060847
307693,RINALDI,500,16,309569,STATION M(VALLEY),230,7,11.760583185328043
304137,HALLDALE,138,3,309758,YUKON,66,5,11.63708942454882
303540,CARSON,66,1,308806,MOBILOIL,66,3,11.619938247689287
301637,STATION N (AIRPORT),138,4,306623,GRAMERCY,138,6,11.59573810493397
300627,IMPERIAL TERMINAL TOWER,138,4,301637,STATION N (AIRPORT),138,4,11.452098218253212
308471,TORRANCE,66,2,310204,EL NIDO,230,7,11.451195697168584
303169,LIGHTPIPE,230,9,306224,LAKEWOOD,66,2,11.445173356968478
303169,LIGHTPIPE,230,9,306060,LAGUNA BELL,230,12,11.319874941181215
300829,GOULD,230,2,301558,EAGLE ROCK,230,9,11.196418456793824
306444,STANHILL,66,0,309156,FELTON,66,2,11.139568414694304
306623,GRAMERCY,138,6,306844,LA FRESA,230,12,11.092655448756526
302164,BRIGHTON,115,2,308471,TORRANCE,66,2,11.082744900509772
306224,LAKEWOOD,66,2,307373,HAYNES,230,6,10.660817347290084
300493,STATION J,230,4,307693,RINALDI,500,16,10.647782224575687
300105,WALNUT,230,5,306279,OLINDA,230,10,10.49479415248209
302171,SAWTELLE,66,2,309663,TAHITI,230,1,10.47960957976922
300627,IMPERIAL TERMINAL TOWER,138,4,301543,SEPLUVEDA,66,0,10.464070323218332
300627,IMPERIAL TERMINAL TOWER,138,4,310204,EL NIDO,230,7,10.44209057416226
306060,LAGUNA BELL,230,12,306450,VERNON,66,3,10.303216621058972
