src,src_name,tgt,tgt_name,length_km,near_substation_id,near_substation_name,distance_to_path_px
301489,BULLIS,306279,OLINDA,34.19,303540,CARSON,45.83780644838933
301489,BULLIS,306279,OLINDA,34.19,302187,DEL AMO,66.17316676720263
301489,BULLIS,306279,OLINDA,34.19,304073,STATION B (CENTURY),69.68151620049608
301489,BULLIS,306279,OLINDA,34.19,300408,PUENTE,78.13078586575207
301489,BULLIS,306279,OLINDA,34.19,300105,WALNUT,82.87107155093386
301614,PULPGEN,306268,WESTEX,24.49,303169,LIGHTPIPE,6.632939274748276
301614,PULPGEN,306268,WESTEX,24.49,306450,VERNON,15.204213231864342
301614,PULPGEN,306268,WESTEX,24.49,308269,STATION F (VELASCO & KINETIC),21.513421392237923
301614,PULPGEN,306268,WESTEX,24.49,301489,BULLIS,36.32443254890581
301614,PULPGEN,306268,WESTEX,24.49,306060,LAGUNA BELL,38.88574674607652
301614,PULPGEN,306268,WESTEX,24.49,310504,BANDINI,40.7543138820911
301614,PULPGEN,306268,WESTEX,24.49,307274,CAMERON,47.8162901112163
301614,PULPGEN,306268,WESTEX,24.49,306224,LAKEWOOD,49.98236579879799
303540,CARSON,308216,ROLLING HILLS,23.38,308806,MOBILOIL,1.669999999999959
303540,CARSON,308216,ROLLING HILLS,23.38,305084,VICTORIA,2.379436433422306
303540,CARSON,308216,ROLLING HILLS,23.38,304731,REDONDO,10.20122541658596
303540,CARSON,308216,ROLLING HILLS,23.38,304137,HALLDALE,13.243419938955734
303540,CARSON,308216,ROLLING HILLS,23.38,306844,LA FRESA,13.780402520334079
303540,CARSON,308216,ROLLING HILLS,23.38,303303,HUGHTRON,16.601328260112208
303540,CARSON,308216,ROLLING HILLS,23.38,308471,TORRANCE,29.07824788394231
303540,CARSON,308216,ROLLING HILLS,23.38,301489,BULLIS,45.54470441225845
304731,REDONDO,306268,WESTEX,31.34,308806,MOBILOIL,1.669999999999959
304731,REDONDO,306268,WESTEX,31.34,305084,VICTORIA,2.379436433422306
304731,REDONDO,306268,WESTEX,31.34,303169,LIGHTPIPE,3.299515115892063
304731,REDONDO,306268,WESTEX,31.34,304137,HALLDALE,13.243419938955736
304731,REDONDO,306268,WESTEX,31.34,306844,LA FRESA,13.780402520334079
304731,REDONDO,306268,WESTEX,31.34,303540,CARSON,20.739502224950126
304731,REDONDO,306268,WESTEX,31.34,301489,BULLIS,23.74893695478865
304731,REDONDO,306268,WESTEX,31.34,308471,TORRANCE,33.422066064203804
304731,REDONDO,307564,JOSE,48.17,308806,MOBILOIL,1.669999999999959
304731,REDONDO,307564,JOSE,48.17,305084,VICTORIA,2.379436433422306
304731,REDONDO,307564,JOSE,48.17,303169,LIGHTPIPE,10.884617540818823
304731,REDONDO,307564,JOSE,48.17,304137,HALLDALE,13.243419938955736
304731,REDONDO,307564,JOSE,48.17,306844,LA FRESA,13.780402520334079
304731,REDONDO,307564,JOSE,48.17,306060,LAGUNA BELL,19.170964723997454
304731,REDONDO,307564,JOSE,48.17,301489,BULLIS,20.803485284922797
304731,REDONDO,307564,JOSE,48.17,303540,CARSON,21.093861166923
304731,REDONDO,310504,BANDINI,36.79,308806,MOBILOIL,1.669999999999959
304731,REDONDO,310504,BANDINI,36.79,305084,VICTORIA,2.379436433422306
304731,REDONDO,310504,BANDINI,36.79,303169,LIGHTPIPE,10.884617540818823
304731,REDONDO,310504,BANDINI,36.79,304137,HALLDALE,13.243419938955736
304731,REDONDO,310504,BANDINI,36.79,306844,LA FRESA,13.780402520334079
304731,REDONDO,310504,BANDINI,36.79,301489,BULLIS,20.803485284922797
304731,REDONDO,310504,BANDINI,36.79,303540,CARSON,21.093861166923
304731,REDONDO,310504,BANDINI,36.79,306060,LAGUNA BELL,23.700569613408042
304731,REDONDO,307274,CAMERON,23.49,308806,MOBILOIL,1.669999999999959
304731,REDONDO,307274,CAMERON,23.49,305084,VICTORIA,2.379436433422306
304731,REDONDO,307274,CAMERON,23.49,300390,HINSON,4.429220431472494
304731,REDONDO,307274,CAMERON,23.49,304137,HALLDALE,7.0001785691509335
304731,REDONDO,307274,CAMERON,23.49,306365,ARCOGEN,11.54000397024326
304731,REDONDO,307274,CAMERON,23.49,310179,WILMINGTON (STATION C),12.683782215782106
304731,REDONDO,307274,CAMERON,23.49,306844,LA FRESA,13.780402520334079
304731,REDONDO,307274,CAMERON,23.49,304450,HARBORGEN,31.961478376320507
304731,REDONDO,308581,STATION Q (HARBOR),22.34,308806,MOBILOIL,1.669999999999959
304731,REDONDO,308581,STATION Q (HARBOR),22.34,305084,VICTORIA,2.379436433422306
304731,REDONDO,308581,STATION Q (HARBOR),22.34,310179,WILMINGTON (STATION C),4.935284558158036
304731,REDONDO,308581,STATION Q (HARBOR),22.34,304137,HALLDALE,7.0001785691509335
304731,REDONDO,308581,STATION Q (HARBOR),22.34,306844,LA FRESA,13.780402520334079
304731,REDONDO,308581,STATION Q (HARBOR),22.34,306365,ARCOGEN,31.3296856032741
304731,REDONDO,308581,STATION Q (HARBOR),22.34,308471,TORRANCE,33.422066064203804
304731,REDONDO,308581,STATION Q (HARBOR),22.34,309853,DOCK,34.219294265078005
300105,WALNUT,304731,REDONDO,55.0,308806,MOBILOIL,1.669999999999959
300105,WALNUT,304731,REDONDO,55.0,305084,VICTORIA,2.379436433422306
300105,WALNUT,304731,REDONDO,55.0,307564,JOSE,8.485499943607051
