src,tgt,length_km,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m
301100,301745,12.494266975160466,305885,LA BREA,52.71741717561434,11701.776257593205
301100,302297,5.021221251023873,306091,DOUGLAS,235.75490899715,4908.5969902447205
301100,303099,16.945862402687595,301637,STATION N (AIRPORT),243.7191801354966,7750.4213014001125
301100,305885,13.771251560211534,301745,WINDSOR HILLS,70.63012387876863,13058.377704796858
301100,306091,5.190101500372027,302297,TRISONIC,218.5565120298216,5118.986241812422
301100,306444,12.736684693045106,301637,STATION N (AIRPORT),243.7191801354966,7750.4213014001125
301100,308786,13.160809136632235,306444,STANHILL,78.08408650632371,12658.560622375653
301105,301194,32.09436733415257,301156,BEVERLY,245.9532031166341,8060.274525044447
301105,308494,28.201447084329416,301156,BEVERLY,245.9532031166341,8060.274525044447
301105,309042,40.91359504058567,310527,STATION A (ST. JOHN),168.56063250182225,37495.1747667698
301105,309843,5.396993288016607,300144,STATION 11,17.930268039182533,2862.528782714964
301105,310527,37.546764754121476,301156,BEVERLY,245.9532031166341,8060.274525044447
301156,309042,33.13639925332075,310527,STATION A (ST. JOHN),168.56063250182225,29717.978979504864
301156,309843,15.459784751662419,300144,STATION 11,17.930268039182533,12925.320246360776
301194,302171,31.516329049796585,301156,BEVERLY,245.9532031166341,24034.092809108148
301194,309042,9.689306978718166,310527,STATION A (ST. JOHN),168.56063250182225,6270.886704902281
301194,309843,37.37578219322489,300144,STATION 11,17.930268039182533,34841.317687923234
301541,303371,13.971000851739221,300648,ROSEMEAD,57.16190098559964,7117.78627599246
301541,305984,17.431577105487296,307564,JOSE,192.5283675377389,8451.374708745841
301541,306450,18.57375393082768,306060,LAGUNA BELL,120.84072938109479,8261.957375277334
301543,301745,12.683409181769436,305885,LA BREA,52.71741717561434,11890.918464202174
301543,302297,1.8912627692055988,306091,DOUGLAS,255.89397057221652,1858.5598641358679
301543,305885,13.961441795518308,301745,WINDSOR HILLS,70.63012387876863,13248.567940103632
301543,306091,2.0902935148917163,302297,TRISONIC,218.5565120298216,2019.1782563321112
301543,306844,9.725182912840022,310204,EL NIDO,179.03570298322637,3453.432849904502
301543,307557,4.8730694046837,307832,UNKNOWN307832,280.30465427016134,3535.6826282418615
301543,308471,15.021065914368714,310204,EL NIDO,179.03570298322637,3453.432849904502
301543,308786,13.35099937193901,306444,STANHILL,78.08408650632371,12848.750857682428
301558,309042,17.256029964775617,310527,STATION A (ST. JOHN),168.56063250182225,13837.609690959725
301637,301745,5.062849190861043,305885,LA BREA,52.71741717561434,4270.358473293784
301637,302297,7.554490708635556,306091,DOUGLAS,255.89397057221652,7521.787803565825
301637,305885,6.340881804609914,301745,WINDSOR HILLS,70.63012387876863,5628.007949195237
301637,306091,7.379781029408177,302297,TRISONIC,212.75626097453238,7208.3358486651605
301637,306844,14.457452489422526,309156,FELTON,94.75686731619956,6839.37736206968
301637,307557,11.987308282979555,310204,EL NIDO,191.06278975995133,8846.071283171024
301637,308471,20.480469014897643,310204,EL NIDO,179.03570298322637,8912.835950433431
301637,308786,5.7304393810306165,306444,STANHILL,78.08408650632371,5228.190866774034
301745,302297,12.000603279386905,305885,LA BREA,52.717417175614344,792.4907175672599
301745,306091,11.825893600159521,305885,LA BREA,52.717417175614344,792.4907175672599
301745,306623,9.307227283724671,305885,LA BREA,80.1938029846316,820.0042442836645
301745,306844,17.40179660969173,305885,LA BREA,80.1938029846316,820.0042442836645
301745,307557,16.13932034011762,305885,LA BREA,80.1938029846316,820.0042442836645
301745,308786,1.977006318675114,306444,STANHILL,78.08408650632371,1474.7578044185311
301745,309156,9.760757679212599,305885,LA BREA,80.1938029846316,820.0042442836645
301745,309758,15.209718039244075,305885,LA BREA,80.1938029846316,820.0042442836645
301745,310204,13.18908399475823,305885,LA BREA,80.1938029846316,820.0042442836645
302164,306365,22.08657752452032,300390,HINSON,127.45723735120436,19930.88248558204
302164,308540,22.729346001899295,304450,HARBORGEN,92.64880905457912,21180.311298140256
302171,308494,27.623408799973408,301156,BEVERLY,245.9532031166341,7482.23624068844
302171,309042,40.33555675622966,310527,STATION A (ST. JOHN),168.56063250182225,36917.136482413785
