substation_id,degree,NAME,CITY,Owner,MAX_VOLT,LINES,role_key,role_text,is_source,source_role_score,MAX_VOLT_N,LINES_N,is_role_hub,is_voltage_hub,is_line_hub,hub_evidence_count,sanity_flag,threshold
306450,14,VERNON,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_35km
301614,13,PULPGEN,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_35km
304450,13,HARBORGEN,LOS ANGELES,SCE,230,4,core,core in_basin_generation_proxy,True,1.0,230,4,True,True,False,2,ok,le_35km
308471,13,TORRANCE,TORRANCE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_35km
300390,12,HINSON,LONG BEACH,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_35km
308806,12,MOBILOIL,TORRANCE,SCE,66,3,,,,,66,3,False,False,False,0,ok,le_35km
309758,12,YUKON,HAWTHORNE,SCE,66,5,,,,,66,5,False,False,False,0,ok,le_35km
301105,10,STATION K (OLYMPIC),LOS ANGELES,LADWP,230,8,transit,transit transit_hub_not_source,False,0.6,230,8,True,True,True,3,ok,le_35km
306279,10,OLINDA,ROWLAND HEIGHTS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_35km
300429,10,STATION E (TOLUCA),LOS ANGELES,LADWP,500,15,transit,transit transit_hub_not_source,False,0.6,500,15,True,True,True,3,ok,le_35km
309156,10,FELTON,DEL AIRE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_35km
302187,9,DEL AMO,CERRITOS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_35km
301543,9,SEPLUVEDA,EL SEGUNDO,SCE,66,0,,,,,66,0,False,False,False,0,ok,le_35km
301637,8,STATION N (AIRPORT),LOS ANGELES,LADWP,138,4,,,,,138,4,False,True,False,1,ok,le_35km
308786,8,LA CIENEGA,LADERA HEIGHTS,SCE,230,3,transit,transit transit_hub_not_source,False,0.6,230,3,True,True,False,2,ok,le_35km
301558,8,EAGLE ROCK,GLENDALE,SCE,230,9,,,,,230,9,False,True,True,2,ok,le_35km
310204,8,EL NIDO,HAWTHORNE,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_35km
307039,8,ALAMITOS,LONG BEACH,SCE,230,7,core,core in_basin_generation_proxy,True,1.0,230,7,True,True,True,3,ok,le_35km
300648,7,ROSEMEAD,ROSEMEAD,SCE,66,4,,,,,66,4,False,False,False,0,ok,le_35km
306369,7,LA MIRADA,LA MIRADA,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_35km
302297,7,TRISONIC,EL SEGUNDO,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_35km
301194,7,STATION G (ATWATER),LOS ANGELES,LADWP,230,8,,,,,230,8,False,True,True,2,ok,le_35km
302164,18,BRIGHTON,GARDENA,SCE,115,2,,,,,115,2,False,False,False,0,ok,le_40km
306844,17,LA FRESA,TORRANCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_40km
303169,17,LIGHTPIPE,LONG BEACH,SCE,230,9,transit,transit transit_hub_not_source,False,0.6,230,9,True,True,True,3,ok,le_40km
306450,16,VERNON,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_40km
301614,15,PULPGEN,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_40km
300232,15,CENTER,NORWALK,SCE,230,7,,,,,230,7,False,True,True,2,ok,le_40km
308471,15,TORRANCE,TORRANCE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_40km
304137,15,HALLDALE,LOS ANGELES,LADWP,138,3,,,,,138,3,False,True,False,1,ok,le_40km
310179,15,WILMINGTON (STATION C),LOS ANGELES,LADWP,138,8,transit,transit transit_hub_not_source,False,0.6,138,8,True,True,True,3,ok,le_40km
