src,tgt,length_km,path_nodes_count,decision,blocker_tolerance_m,debug_search_radius_m,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m,path_length_km,within_blocker_tolerance
308786,310204,14.15077469854109,109,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,13648.526184284508,14.15077469854109,True
306844,310204,6.272684598859437,28,accepted,300.0,1000.0,,,,,6.272684598859437,False
301543,310204,3.5776688370912364,23,accepted,300.0,1000.0,307832,UNKNOWN307832,626.6136575129748,1152.4903796215933,3.5776688370912364,False
306444,310204,13.726650254953961,108,accepted,300.0,1000.0,301637,STATION N (AIRPORT),398.8484395944716,8754.665328945426,13.726650254953961,False
303099,310204,17.93582796459645,127,accepted,300.0,1000.0,301637,STATION N (AIRPORT),398.8484395944716,8754.665328945426,17.93582796459645,False
301637,310204,9.037071937620167,67,accepted,300.0,1000.0,309156,FELTON,450.5770398132478,2733.790601429264,9.037071937620167,False
308471,310204,11.56658917421115,66,accepted,300.0,1000.0,,,,,11.56658917421115,False
307832,310204,1.335214131799969,10,accepted,300.0,1000.0,,,,,1.335214131799969,False
301745,310204,13.189083994758231,143,blocked_by_near_substation,300.0,1000.0,305885,LA BREA,80.1938029846316,12369.079750474568,13.189083994758231,True
309758,310204,12.593900864814747,78,accepted,300.0,1000.0,309156,FELTON,450.5770398132478,2733.790601429264,12.593900864814747,False
307557,309703,2.888712822841664,22,blocked_by_near_substation,300.0,1000.0,301108,CHEVMAIN,58.492870691279315,2460.662468571435,2.888712822841664,True
309553,309703,1.8585179455326415,18,accepted,300.0,1000.0,303344,CHEVGEN,689.5299936675825,255.50440309317568,1.8585179455326415,False
302923,309703,2.4279567308906853,25,accepted,300.0,1000.0,301108,CHEVMAIN,881.3946483981457,1590.9926012640135,2.4279567308906853,False
306623,309156,8.538315673038577,33,accepted,300.0,1000.0,300627,IMPERIAL TERMINAL TOWER,489.0995383183839,6482.418693023366,8.538315673038577,False
300627,309156,7.0137642586166296,32,accepted,300.0,1000.0,,,,,7.0137642586166296,False
305885,309156,12.174135281860728,83,blocked_by_near_substation,300.0,1000.0,301745,WINDSOR HILLS,70.63012387876863,11461.261426446054,12.174135281860728,True
308786,309156,11.563692858281431,80,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,11061.444344024849,11.563692858281431,True
306844,309156,8.929132767345278,41,accepted,300.0,1000.0,310204,EL NIDO,461.9905474564624,3081.255128182789,8.929132767345278,False
301543,309156,5.148406869336892,38,accepted,300.0,1000.0,306091,DOUGLAS,326.2064385943558,2685.188645066929,5.148406869336892,False
306444,309156,11.139568414694303,79,accepted,300.0,1000.0,301637,STATION N (AIRPORT),398.8484395944716,6167.583488685769,11.139568414694303,False
301637,309156,6.44999009736051,38,accepted,300.0,1000.0,,,,,6.44999009736051,False
308471,309156,14.533987161584406,82,accepted,300.0,1000.0,310204,EL NIDO,461.9905474564624,3081.255128182789,14.533987161584406,False
302297,309156,4.518074425990389,39,blocked_by_near_substation,300.0,1000.0,306091,DOUGLAS,255.89397057221652,4485.371520920658,4.518074425990389,True
301745,309156,9.760757679212603,110,blocked_by_near_substation,300.0,1000.0,305885,LA BREA,80.1938029846316,8940.753434928938,9.760757679212603,True
309156,309758,9.16557454926911,45,accepted,300.0,1000.0,300627,IMPERIAL TERMINAL TOWER,743.848068052799,6199.036344301448,9.16557454926911,False
304450,308367,1.6544978018889747,8,blocked_by_near_substation,300.0,1000.0,308540,LONG BEACH,150.81823570324855,68.32081690852598,1.6544978018889747,True
300558,303371,43.56985398500446,280,accepted,300.0,1000.0,305984,RIO HONDO,349.08416055587224,28324.30293762414,43.56985398500446,False
300558,300829,57.38486651064409,322,blocked_by_near_substation,300.0,1000.0,303371,GOODRICH,64.3142625731781,43505.63260384526,57.38486651064409,True
300558,301517,14.896786584443797,92,accepted,300.0,1000.0,,,,,14.896786584443797,False
300558,306279,29.666982563297694,123,accepted,300.0,1000.0,,,,,29.666982563297694,False
300408,300558,22.16647429190498,119,accepted,300.0,1000.0,301517,NOGALES,399.8268854022348,15045.104931975828,22.16647429190498,False
300558,305984,28.038178616496634,158,accepted,300.0,1000.0,,,,,28.038178616496634,False
300558,300648,40.18015488218747,243,accepted,300.0,1000.0,305984,RIO HONDO,349.08416055587224,28324.30293762414,40.18015488218747,False
300829,303371,13.918116006386079,50,accepted,300.0,1000.0,,,,,13.918116006386079,False
301541,303371,13.971000851739225,64,blocked_by_near_substation,300.0,1000.0,300648,ROSEMEAD,57.16190098559964,6853.214575746764,13.971000851739225,True
303371,308907,15.562639591461867,74,blocked_by_near_substation,300.0,1000.0,300648,ROSEMEAD,57.16190098559964,6853.214575746764,15.562639591461867,True
303371,305984,15.724559171577859,122,accepted,300.0,1000.0,,,,,15.724559171577859,False
300648,303371,6.895055279778806,31,accepted,300.0,1000.0,,,,,6.895055279778806,False
300829,301541,27.786013377378822,106,blocked_by_near_substation,300.0,1000.0,300648,ROSEMEAD,57.16190098559964,20668.227101386372,27.786013377378822,True
300829,308907,29.377652117101462,116,blocked_by_near_substation,300.0,1000.0,300648,ROSEMEAD,57.16190098559964,20668.227101386372,29.377652117101462,True
300829,305984,29.539571697217472,164,blocked_by_near_substation,300.0,1000.0,303371,GOODRICH,64.3142625731781,13879.233906798807,29.539571697217472,True
300648,300829,20.710067805418415,73,blocked_by_near_substation,300.0,1000.0,303371,GOODRICH,64.3142625731781,13879.233906798807,20.710067805418415,True
300829,309569,28.364981879469948,100,accepted,300.0,1000.0,,,,,28.364981879469948,False
300829,310199,42.41771655396222,142,accepted,300.0,1000.0,,,,,42.41771655396222,False
300627,306623,2.587242545608471,12,accepted,300.0,1000.0,,,,,2.587242545608471,False
306623,308786,11.12052562790096,87,blocked_by_near_substation,300.0,1000.0,306444,STANHILL,78.08408650632371,10618.277113644379,11.12052562790096,True
306623,306844,11.092655448756526,48,accepted,300.0,1000.0,300627,IMPERIAL TERMINAL TOWER,489.0995383183839,2055.8969800152086,11.092655448756526,False
301543,306623,11.93614827860425,60,accepted,300.0,1000.0,306091,DOUGLAS,326.2064385943558,9472.930054334287,11.93614827860425,False
306444,306623,10.696401184313832,86,blocked_by_near_substation,300.0,1000.0,305885,LA BREA,139.7049037917456,8373.102801768788,10.696401184313832,True
304073,306623,5.41447110533073,30,accepted,300.0,1000.0,,,,,5.41447110533073,False
301637,306623,11.59573810493397,81,accepted,300.0,1000.0,305885,LA BREA,858.6670188513511,7741.081488291414,11.59573810493397,False
302297,306623,11.30581583525775,61,blocked_by_near_substation,300.0,1000.0,306091,DOUGLAS,255.89397057221652,11273.11293018802,11.30581583525775,True
301745,306623,9.307227283724671,93,blocked_by_near_substation,300.0,1000.0,305885,LA BREA,80.1938029846316,8487.223039441007,9.307227283724671,True
306623,309758,6.283401000685973,33,accepted,300.0,1000.0,300627,IMPERIAL TERMINAL TOWER,489.0995383183839,2055.8969800152086,6.283401000685973,False
300648,307512,35.03836852742275,287,accepted,300.0,1000.0,,,,,35.03836852742275,False
307512,307785,21.796783814353166,172,accepted,300.0,1000.0,301194,STATION G (ATWATER),680.3925998491534,6649.544332086008,21.796783814353166,False
304137,304450,14.20213537027169,78,accepted,300.0,1000.0,,,,,14.20213537027169,False
300390,304137,12.961579150094282,75,accepted,300.0,1000.0,,,,,12.961579150094282,False
304137,307564,40.89204333180913,246,accepted,300.0,1000.0,303169,LIGHTPIPE,980.2882903987322,15581.79220891983,40.89204333180913,False
304137,306844,6.0432546766272015,37,blocked_by_near_substation,300.0,1000.0,308806,MOBILOIL,151.66741502069428,4799.063536016425,6.0432546766272015,True
