line_row_index,line_part_index,endpoint_type,original_x,original_y,repaired_x,repaired_y,repair_type,cluster_id,nearest_substation_id,nearest_substation_name,nearest_distance_m,second_nearest_substation_id,second_nearest_distance_m,snap_decision_reason,endpoint_key
457,0,end,167144.12836537478,-419986.6786042815,167007.34836989242,-419988.1985496292,substation_snap_primary,,300829,GOULD,136.7884402938109,304040,2793.787704214167,primary_tier_within_150m,457:0:end
458,0,start,171093.14962628682,-447108.54783616075,171165.2551613045,-447148.383494264,substation_snap_primary,,306060,LAGUNA BELL,82.37771444208988,310504,3304.7866191743124,primary_tier_within_150m,458:0:start
458,0,end,174310.1579017212,-440547.9765182659,174479.91187643362,-440318.77037711255,substation_snap_secondary,,301541,MESA,285.22248696951675,308907,1950.2068818137031,secondary_tier_guard_passed,458:0:end
459,0,start,171043.48732826405,-447215.27127696853,171165.2551613045,-447148.383494264,substation_snap_primary,,306060,LAGUNA BELL,138.92940883231643,310504,3355.5520752339094,primary_tier_within_150m,459:0:start
459,0,end,170908.2127927203,-446982.7082955609,171165.2551613045,-447148.383494264,substation_snap_secondary,,306060,LAGUNA BELL,305.80884668805186,310504,3089.645918882602,secondary_tier_guard_passed,459:0:end
460,0,start,288274.06499844074,-401541.2487801616,288274.06499844074,-401541.2487801616,none,,300558,GANESHA,90337.92398743652,301517,99319.02389241933,outside_secondary_tolerance,460:0:start
460,0,end,248387.89506889542,-389959.35482484894,248387.89506889542,-389959.35482484894,none,,300558,GANESHA,64039.14825228003,301517,73216.64759062078,outside_secondary_tolerance,460:0:end
461,0,start,288274.06499844074,-401541.2487801616,288274.06499844074,-401541.2487801616,none,,300558,GANESHA,90337.92398743652,301517,99319.02389241933,outside_secondary_tolerance,461:0:start
461,0,end,239815.03993655348,-386731.6778843412,239815.03993655348,-386731.6778843412,none,,300558,GANESHA,61262.599114614015,301517,70185.29242344362,outside_secondary_tolerance,461:0:end
462,0,start,248387.89506889542,-389959.35482484894,248387.89506889542,-389959.35482484894,none,,300558,GANESHA,64039.14825228003,301517,73216.64759062078,outside_secondary_tolerance,462:0:start
462,0,end,248434.25491218327,-390014.6179345972,248434.25491218327,-390014.6179345972,none,,300558,GANESHA,64029.4236635079,301517,73208.35334227831,outside_secondary_tolerance,462:0:end
463,0,start,248387.89506889542,-389959.35482484894,248387.89506889542,-389959.35482484894,none,,300558,GANESHA,64039.14825228003,301517,73216.64759062078,outside_secondary_tolerance,463:0:start
463,0,end,239834.2285601764,-386732.9289899785,239834.2285601764,-386732.9289899785,none,,300558,GANESHA,61272.36244120784,301517,70195.6919319748,outside_secondary_tolerance,463:0:end
464,0,start,234669.9253641843,-424932.4745280482,234669.9253641843,-424932.4745280482,none,,300558,GANESHA,31853.460439565344,301517,40865.250438241696,outside_secondary_tolerance,464:0:start
464,0,end,227383.56966428112,-433416.29551006947,227383.56966428112,-433416.29551006947,none,,300558,GANESHA,22388.117434081272,301517,30864.05135540206,outside_secondary_tolerance,464:0:end
465,0,start,241807.4796147255,-402118.52041772706,241807.4796147255,-402118.52041772706,none,,300558,GANESHA,50720.351597761306,301517,59965.52464049191,outside_secondary_tolerance,465:0:start
465,0,end,235700.81462456856,-423238.9461333407,235700.81462456856,-423238.9461333407,none,,300558,GANESHA,33484.110133088885,301517,42556.88138986758,outside_secondary_tolerance,465:0:end
466,0,start,241805.28400042822,-402190.29940880183,241805.28400042822,-402190.29940880183,none,,300558,GANESHA,50668.89709840359,301517,59914.79805116385,outside_secondary_tolerance,466:0:start
466,0,end,233865.51193019736,-425902.29433464585,233865.51193019736,-425902.29433464585,none,,300558,GANESHA,30739.479786193508,301517,39715.72349174959,outside_secondary_tolerance,466:0:end
467,0,start,241804.25811050663,-402166.242377453,241804.25811050663,-402166.242377453,none,,300558,GANESHA,50684.86960975131,301517,59930.509816043574,outside_secondary_tolerance,467:0:start
467,0,end,235700.81462456856,-423238.9461333407,235700.81462456856,-423238.9461333407,none,,300558,GANESHA,33484.110133088885,301517,42556.88138986758,outside_secondary_tolerance,467:0:end
468,0,start,233865.51193019736,-425902.29433464585,233865.51193019736,-425902.29433464585,none,,300558,GANESHA,30739.479786193508,301517,39715.72349174959,outside_secondary_tolerance,468:0:start
468,0,end,224897.7736754143,-442162.1170800766,224897.7736754143,-442162.1170800766,none,,300558,GANESHA,20125.2818597733,301517,26813.22770555291,outside_secondary_tolerance,468:0:end
