node,node_name,neighbor,neighbor_name,neighbor_city,neighbor_voltage,neighbor_lines,length_km,path_nodes_count,path_segments_count,bbox
305084,VICTORIA,307274,CAMERON,LONG BEACH,69,1,21.78,149,148,"[364.31, 604.89, 548.52, 671.93]"
305084,VICTORIA,300390,HINSON,LONG BEACH,230,7,21.56,136,135,"[364.31, 604.89, 542.7, 671.93]"
305084,VICTORIA,304073,STATION B (CENTURY),LOS ANGELES,230,8,20.78,114,113,"[364.31, 495.12, 504.51, 607.41]"
305084,VICTORIA,308581,STATION Q (HARBOR),LOS ANGELES,138,3,20.63,117,116,"[364.31, 604.89, 496.4, 713.7]"
305084,VICTORIA,303169,LIGHTPIPE,LONG BEACH,230,9,20.55,115,114,"[364.31, 577.69, 598.16, 607.41]"
305084,VICTORIA,308786,LA CIENEGA,LADERA HEIGHTS,230,3,19.02,139,138,"[360.65, 430.09, 375.49, 604.89]"
305084,VICTORIA,306444,STANHILL,LADERA HEIGHTS,66,0,18.59,138,137,"[364.84, 430.49, 375.49, 604.89]"
305084,VICTORIA,310179,WILMINGTON (STATION C),LOS ANGELES,138,8,17.41,107,106,"[364.31, 604.89, 501.12, 679.78]"
305084,VICTORIA,303540,CARSON,COMPTON,66,1,15.82,86,85,"[364.31, 593.52, 548.73, 607.41]"
305084,VICTORIA,301637,STATION N (AIRPORT),LOS ANGELES,138,4,13.9,97,96,"[363.19, 477.86, 375.49, 604.89]"
305084,VICTORIA,306091,DOUGLAS,EL SEGUNDO,66,1,9.95,66,65,"[340.51, 526.79, 372.4, 604.89]"
305084,VICTORIA,302297,TRISONIC,EL SEGUNDO,66,1,9.69,63,62,"[340.51, 527.87, 372.4, 604.89]"
305084,VICTORIA,304137,HALLDALE,LOS ANGELES,138,3,9.15,57,56,"[364.31, 604.89, 453.13, 619.11]"
305084,VICTORIA,301543,SEPLUVEDA,EL SEGUNDO,66,0,8.45,53,52,"[339.33, 530.78, 372.4, 604.89]"
305084,VICTORIA,308216,ROLLING HILLS,TORRANCE,66,1,8.02,72,71,"[356.5, 604.89, 388.52, 669.31]"
305084,VICTORIA,309156,FELTON,DEL AIRE,66,2,7.65,40,39,"[364.84, 534.54, 380.49, 604.89]"
305084,VICTORIA,308471,TORRANCE,TORRANCE,66,2,6.64,43,42,"[364.31, 604.89, 405.5, 640.71]"
305084,VICTORIA,306844,LA FRESA,TORRANCE,230,12,5.08,26,25,"[364.89, 591.54, 413.41, 604.89]"
305084,VICTORIA,310204,EL NIDO,HAWTHORNE,230,7,4.88,28,27,"[364.84, 559.16, 371.23, 604.89]"
305084,VICTORIA,308806,MOBILOIL,TORRANCE,66,3,4.49,31,30,"[364.31, 604.89, 413.68, 607.41]"
305084,VICTORIA,304731,REDONDO,REDONDO BEACH,66,1,2.17,20,19,"[349.51, 604.89, 365.57, 618.4]"
306268,WESTEX,300408,PUENTE,INDUSTRY,66,5,43.55,264,263,"[596.2, 391.5, 882.43, 663.35]"
306268,WESTEX,305984,RIO HONDO,IRWINDALE,230,8,43.44,231,230,"[596.2, 300.98, 824.49, 663.35]"
306268,WESTEX,300105,WALNUT,INDUSTRY,230,5,41.85,244,243,"[596.2, 391.5, 859.94, 663.35]"
306268,WESTEX,306279,OLINDA,ROWLAND HEIGHTS,230,10,39.08,310,309,"[596.2, 497.48, 892.02, 663.35]"
306268,WESTEX,307564,JOSE,AVOCADO HEIGHTS,66,0,35.02,205,204,"[596.2, 383.67, 775.28, 663.35]"
306268,WESTEX,304731,REDONDO,REDONDO BEACH,66,1,31.34,186,185,"[349.51, 577.69, 606.42, 663.35]"
306268,WESTEX,309758,YUKON,HAWTHORNE,66,5,30.16,190,189,"[411.6, 531.04, 606.42, 663.35]"
306268,WESTEX,308216,ROLLING HILLS,TORRANCE,66,1,29.94,202,201,"[387.86, 652.69, 601.32, 703.82]"
306268,WESTEX,305084,VICTORIA,REDONDO BEACH,66,3,29.64,173,172,"[364.31, 577.69, 606.42, 663.35]"
306268,WESTEX,308471,TORRANCE,TORRANCE,66,2,29.63,169,168,"[400.2, 577.69, 606.42, 663.35]"
306268,WESTEX,300627,IMPERIAL TERMINAL TOWER,WEST ATHENS,138,4,28.37,179,178,"[440.78, 521.67, 606.42, 663.35]"
306268,WESTEX,306369,LA MIRADA,LA MIRADA,66,1,28.29,188,187,"[596.19, 568.23, 784.64, 692.08]"
306268,WESTEX,306450,VERNON,VERNON,66,3,27.54,192,191,"[533.06, 433.0, 606.42, 663.35]"
306268,WESTEX,302164,BRIGHTON,GARDENA,115,2,26.27,175,174,"[438.05, 551.14, 606.42, 663.35]"
306268,WESTEX,308269,STATION F (VELASCO & KINETIC),LOS ANGELES,230,7,26.03,156,155,"[563.16, 412.21, 606.42, 663.35]"
306268,WESTEX,308806,MOBILOIL,TORRANCE,66,3,25.43,144,143,"[413.68, 577.69, 606.42, 663.35]"
306268,WESTEX,306844,LA FRESA,TORRANCE,230,12,24.73,159,158,"[413.41, 577.69, 606.42, 663.35]"
306268,WESTEX,301614,PULPGEN,VERNON,66,3,24.49,164,163,"[560.05, 433.58, 606.42, 663.35]"
306268,WESTEX,304073,STATION B (CENTURY),LOS ANGELES,230,8,24.34,153,152,"[504.51, 487.54, 606.42, 663.35]"
306268,WESTEX,310504,BANDINI,VERNON,66,2,23.71,154,153,"[590.4, 430.94, 606.42, 663.35]"
306268,WESTEX,304137,HALLDALE,LOS ANGELES,138,3,22.86,132,131,"[447.99, 618.55, 601.32, 703.82]"
306268,WESTEX,300232,CENTER,NORWALK,230,7,20.43,138,137,"[596.2, 518.63, 678.09, 663.35]"
306268,WESTEX,306060,LAGUNA BELL,COMMERCE,230,12,20.36,138,137,"[596.2, 460.53, 629.4, 663.35]"
306268,WESTEX,306224,LAKEWOOD,LONG BEACH,66,2,17.99,105,104,"[596.19, 639.93, 695.38, 692.08]"
306268,WESTEX,302187,DEL AMO,CERRITOS,230,10,17.18,106,105,"[596.19, 617.95, 697.06, 692.08]"
306268,WESTEX,310179,WILMINGTON (STATION C),LOS ANGELES,138,8,16.25,96,95,"[499.85, 663.28, 601.32, 703.82]"
306268,WESTEX,308540,LONG BEACH,LONG BEACH,230,4,15.98,83,82,"[537.09, 663.28, 601.32, 719.95]"
306268,WESTEX,306365,ARCOGEN,CARSON,230,2,15.37,87,86,"[517.85, 651.52, 601.32, 703.82]"
306268,WESTEX,303540,CARSON,COMPTON,66,1,15.08,98,97,"[548.73, 578.71, 606.42, 663.35]"
306268,WESTEX,304450,HARBORGEN,LOS ANGELES,230,4,14.49,81,80,"[536.65, 663.28, 601.32, 703.82]"
306268,WESTEX,301489,BULLIS,COMPTON,66,2,14.15,89,88,"[560.62, 554.07, 606.42, 663.35]"
306268,WESTEX,307274,CAMERON,LONG BEACH,69,1,13.44,90,89,"[542.63, 653.35, 601.32, 703.82]"
306268,WESTEX,300390,HINSON,LONG BEACH,230,7,13.22,83,82,"[542.06, 653.57, 601.32, 703.82]"
306268,WESTEX,307039,ALAMITOS,LONG BEACH,230,7,12.69,75,74,"[596.19, 663.28, 684.42, 712.4]"
306268,WESTEX,303169,LIGHTPIPE,LONG BEACH,230,9,9.14,62,61,"[596.2, 578.25, 606.42, 663.35]"
308216,ROLLING HILLS,300408,PUENTE,INDUSTRY,66,5,62.55,397,396,"[356.5, 391.5, 882.43, 669.31]"
308216,ROLLING HILLS,305984,RIO HONDO,IRWINDALE,230,8,62.43,364,363,"[356.5, 300.98, 824.49, 669.31]"
308216,ROLLING HILLS,300105,WALNUT,INDUSTRY,230,5,60.85,377,376,"[356.5, 391.5, 859.94, 669.31]"
308216,ROLLING HILLS,307564,JOSE,AVOCADO HEIGHTS,66,0,54.02,338,337,"[356.5, 383.67, 775.28, 669.31]"
