substation_id,NAME,CITY,degree,mean_link_km,median_link_km,max_link_km,links_gt20km,links_gt25km,links_gt30km,MAX_VOLT_N,LINES_N,sanity_flag_old,long_edge_load,current_suspicion
308907,NEWMARK,MONTEREY PARK,9,13.364484172560923,9.193904128044853,29.37765211710147,2,1,0,66,3,ok,0.2222222222222222,ok
305885,LA BREA,VIEW PARK-WINDSOR HILLS,9,8.09782447929164,6.340881804609914,13.961441795518308,0,0,0,138,8,ok,0.0,ok
300558,GANESHA,POMONA,8,33.99224490982388,32.85082220395483,57.38486651064409,7,6,4,66,5,ok,0.875,ok
307373,HAYNES,LONG BEACH,7,18.37809326051048,19.177417511632267,34.59815338154186,3,2,2,230,6,ok,0.42857142857142855,ok
310199,SYLMAR WEST,LOS ANGELES,7,18.370114438983876,19.30344923723744,42.41932158048181,3,2,2,230,11,ok,0.42857142857142855,ok
309663,TAHITI,MARINA DEL REY,7,14.442236632825752,12.913886800380832,29.154527704120657,1,1,0,230,1,ok,0.14285714285714285,ok
306768,UNKNOWN306768,LOS ANGELES,7,12.646900224973777,12.356911701186386,21.17613940761949,1,0,0,230,0,ok,0.14285714285714285,ok
307693,RINALDI,LOS ANGELES,7,10.14017415902686,10.647782224575684,17.36870914341035,0,0,0,500,16,ok,0.0,ok
309569,STATION M(VALLEY),LOS ANGELES,6,16.284764096815504,12.27255839958512,28.364981879469948,2,2,0,230,7,ok,0.3333333333333333,ok
303371,GOODRICH,PASADENA,6,18.273537480991383,14.766820221600543,43.56985398500446,1,1,1,230,5,ok,0.16666666666666666,ok
301214,OLIVE,LOS ANGELES,6,9.811850385199415,8.90415551107317,20.097178569833183,1,0,0,230,2,ok,0.16666666666666666,ok
302798,REPETTO,MONTEREY PARK,6,11.346582275044696,12.00858436460909,22.236034106815083,1,0,0,66,2,ok,0.16666666666666666,ok
307785,WABASH,EAST LOS ANGELES,6,16.47446794813527,18.067005434739784,22.135539882125848,2,0,0,69,4,ok,0.3333333333333333,ok
301636,SAN FERNANDO,LOS ANGELES,5,15.573322347882122,16.253194616257005,19.30344923723744,0,0,0,66,1,ok,0.0,ok
307832,UNKNOWN307832,MANHATTAN BEACH,5,3.2721413632062935,3.38058421177158,4.881382894665157,0,0,0,230,0,ok,0.0,ok
309703,EL SEGUNDO,EL SEGUNDO,5,2.4693669667803517,2.476681213758785,2.888712822841664,0,0,0,230,2,ok,0.0,ok
307512,GRAYSON,GLENDALE,4,17.7657788758229,17.7850491084762,35.095889693413795,2,1,1,230,2,ok,0.5,ok
302923,UNKNOWN302923,EL SEGUNDO,4,1.6885507041060337,1.9404905902643361,2.4279567308906853,0,0,0,66,1,ok,0.0,ok
303344,CHEVGEN,EL SEGUNDO,4,1.821728578112423,1.7914533152599996,3.258742776924915,0,0,0,66,2,ok,0.0,ok
301108,CHEVMAIN,EL SEGUNDO,3,1.5792063604080022,1.7226527421214444,2.476681213758785,0,0,0,230,5,ok,0.0,ok
303620,TARZANA(STATION U),LOS ANGELES,3,8.334426757339264,5.858053704005098,14.334136241013791,0,0,0,230,7,ok,0.0,ok
306489,SYLMAR EAST,LOS ANGELES,3,2.303276397211541,0.8929586450584633,5.242457067691311,0,0,0,230,1,ok,0.0,ok
309553,STATION L (SCATTERGOOD),LOS ANGELES,3,2.2048219040814074,1.858517945532641,3.258742776924915,0,0,0,230,2,ok,0.0,ok
309853,DOCK,LONG BEACH,3,4.575952390320662,5.9158361937327975,6.461077909715863,0,0,0,66,2,ok,0.0,ok
300493,STATION J,LOS ANGELES,2,8.25291796429039,8.25291796429039,10.647782224575684,0,0,0,230,4,ok,0.0,ok
301517,NOGALES,INDUSTRY,2,12.409112320909177,12.409112320909177,14.896786584443795,0,0,0,66,0,ok,0.0,ok
303899,STATION H (HOLLYWOOD),LOS ANGELES,2,5.072577918077128,5.072577918077128,7.19221544609699,0,0,0,230,4,ok,0.0,ok
308206,NICHOLS CANYON,LOS ANGELES,2,3.030520593173815,3.030520593173815,3.108100796290364,0,0,0,230,3,ok,0.0,ok
308367,FUEL,LONG BEACH,2,1.5027204347011507,1.5027204347011507,1.6544978018889744,0,0,0,230,1,ok,0.0,ok
303303,HUGHTRON,TORRANCE,1,2.8906459346997155,2.8906459346997155,2.8906459346997155,0,0,0,66,1,ok,0.0,ok
304040,ARROYO,LA CA?ADA FLINTRIDGE,1,7.200990604184929,7.200990604184929,7.200990604184929,0,0,0,66,1,ok,0.0,ok
305780,THERMAS,EL SEGUNDO,1,0.8879405096420163,0.8879405096420163,0.8879405096420163,0,0,0,66,0,ok,0.0,ok
306694,COLORADO,SANTA MONICA,1,1.8048981097046024,1.8048981097046024,1.8048981097046024,0,0,0,66,2,ok,0.0,ok
308991,STATION T,LOS ANGELES,1,4.811090326998902,4.811090326998902,4.811090326998902,0,0,0,230,3,ok,0.0,ok
