Stage,Crew_ID,Crew_Origin_ID,Substation_ID,Start_Time,End_Time,Duration,Travel_Time
Stage4_Northridge_random,31,D04,309042,2.2948689502152946,8.772701530973128,6.477832580757833,0.2711249533854151
Stage4_Northridge_random,5,D02,306844,2.701556499122625,4.613026361902007,1.9114698627793814,0.6564098132427263
Stage4_Northridge_random,36,D06,301194,2.416197786820079,12.539558569307719,10.12336078248764,0.3393878947293104
Stage4_Northridge_random,37,D06,307785,2.497390794854922,7.82743390322174,5.330043108366818,0.3004579864671052
Stage4_Northridge_random,12,D03,301541,2.7999760568607766,6.30199807178184,3.5020220149210637,0.4292488581724492
Stage4_Northridge_random,26,D04,301214,3.0723794972955316,35.438234110941366,32.36585461364584,0.6843504872296757
Stage4_Northridge_random,23,D04,309553,2.592601379703616,6.420219752825851,3.8276183731222346,0.0937586461597219
Stage4_Northridge_random,56,D13,305885,2.9676774758677884,6.875390762472008,3.9077132866042192,0.3925115840853705
Stage4_Northridge_random,8,D02,309156,3.0099359975728808,4.497032001967956,1.4870960043950758,0.4022019711716538
Stage4_Northridge_random,44,D06,301100,3.167882575332589,7.676478404787133,4.508595829454544,0.5043129446549153
Stage4_SanFernando_centrality-first,0,D01,310199,0.4349255116619659,29.58775170218321,29.152826190521242,0.4349255116619659
Stage4_SanFernando_centrality-first,1,D02,301558,0.2435238787950405,3.5816830709210628,3.3381591921260223,0.2435238787950405
Stage4_SanFernando_centrality-first,2,D02,301105,0.2571593411381854,1.5239408242710237,1.2667814831328383,0.2571593411381854
Stage4_SanFernando_centrality-first,3,D02,303620,0.391829570313094,6.839388427668465,6.447558857355371,0.391829570313094
Stage4_SanFernando_centrality-first,4,D02,300429,0.2704071705823979,15.260375198940768,14.98996802835837,0.2704071705823979
Stage4_SanFernando_centrality-first,5,D02,308494,0.1872992599389124,8.975960657759515,8.788661397820603,0.1872992599389124
Stage4_SanFernando_centrality-first,6,D02,309843,0.3406995762028677,1.8703103217099242,1.5296107455070564,0.3406995762028677
