scenario,substation_id,mean_repair_time_hr,task_threshold_hr,is_repair_task,avg_damage_state,p_ds_ge1,p_ds_ge2,p_ds_ge3,p_ds4
LongBeach,300829,0.12239876205180664,1.0,False,0.112,0.111,0.001,0.0,0.0
LongBeach,301100,4.431682203835003,1.0,True,1.4929999999999999,0.861,0.488,0.135,0.009
LongBeach,301105,1.8094704903689671,1.0,True,0.8999999999999999,0.674,0.20099999999999998,0.025,0.0
LongBeach,301108,6.230290989863464,1.0,True,1.8130000000000002,0.9269999999999999,0.607,0.245,0.034
LongBeach,301156,0.6427310955212895,1.0,False,0.432,0.377,0.054,0.001,0.0
LongBeach,301194,0.7392665043015029,1.0,False,0.469,0.412,0.053000000000000005,0.004,0.0
LongBeach,301214,0.22913595838860173,1.0,False,0.19,0.184,0.006,0.0,0.0
LongBeach,301517,0.4494690903425417,1.0,False,0.378,0.35400000000000004,0.024,0.0,0.0
LongBeach,301541,1.749343056812631,1.0,True,0.853,0.64,0.189,0.022,0.002
LongBeach,301543,3.672452873984246,1.0,True,1.334,0.805,0.371,0.157,0.001
LongBeach,301558,0.2366823920187676,1.0,False,0.20800000000000002,0.2,0.008,0.0,0.0
LongBeach,301614,2.8471194991503217,1.0,True,1.163,0.755,0.309,0.099,0.0
LongBeach,301636,0.13446017381194272,1.0,False,0.126,0.125,0.001,0.0,0.0
LongBeach,301637,3.0528172692593247,1.0,True,1.172,0.755,0.308,0.108,0.001
LongBeach,301745,1.8634829396025776,1.0,True,0.885,0.649,0.196,0.04,0.0
LongBeach,302164,7.6683076494950635,1.0,True,2.093,0.925,0.683,0.47100000000000003,0.014
LongBeach,302171,0.9089174565510608,1.0,False,0.553,0.47700000000000004,0.07200000000000001,0.004,0.0
LongBeach,302187,21.84145929763597,1.0,True,3.278,0.992,0.9630000000000001,0.869,0.454
LongBeach,302297,4.133183240133736,1.0,True,1.436,0.8140000000000001,0.42700000000000005,0.193,0.002
LongBeach,302798,0.7436464990174056,1.0,False,0.501,0.438,0.056,0.007,0.0
LongBeach,302923,3.4385437970581005,1.0,True,1.2690000000000001,0.7959999999999999,0.355,0.118,0.0
LongBeach,303099,1.1186668375435231,1.0,True,0.667,0.543,0.11,0.014,0.0
LongBeach,303169,23.352605556574513,1.0,True,3.399,0.998,0.9730000000000001,0.917,0.511
LongBeach,303303,6.504300633916592,1.0,True,1.8780000000000001,0.8940000000000001,0.6220000000000001,0.35200000000000004,0.01
LongBeach,303344,3.03652348185751,1.0,True,1.195,0.762,0.317,0.115,0.001
LongBeach,303371,0.45545503092562567,1.0,False,0.322,0.29800000000000004,0.024,0.0,0.0
LongBeach,303540,15.168894347117602,1.0,True,2.9160000000000004,0.984,0.8980000000000001,0.8440000000000001,0.19
LongBeach,303620,0.5310689427344989,1.0,False,0.378,0.34299999999999997,0.035,0.0,0.0
LongBeach,303899,0.8316117405132936,1.0,False,0.546,0.476,0.066,0.004,0.0
LongBeach,304040,0.10106918518298302,1.0,False,0.094,0.093,0.001,0.0,0.0
LongBeach,304073,12.77565158987927,1.0,True,2.6470000000000002,0.9830000000000001,0.869,0.638,0.157
LongBeach,304137,9.222534677232721,1.0,True,2.3400000000000003,0.9460000000000001,0.7660000000000001,0.5930000000000001,0.035
LongBeach,304450,12.696770307715006,1.0,True,2.596,0.976,0.857,0.602,0.161
LongBeach,305780,3.278748882498606,1.0,True,1.263,0.786,0.354,0.123,0.0
LongBeach,305885,2.271420460633137,1.0,True,0.9829999999999999,0.681,0.242,0.06,0.0
LongBeach,305984,0.7503229238186393,1.0,False,0.49,0.434,0.053000000000000005,0.003,0.0
LongBeach,306060,6.664261395712667,1.0,True,1.8940000000000001,0.925,0.6390000000000001,0.30100000000000005,0.029
LongBeach,306091,4.2479619315539,1.0,True,1.423,0.827,0.41400000000000003,0.18,0.002
LongBeach,306224,16.736255902762192,1.0,True,3.038,0.983,0.933,0.887,0.235
LongBeach,306279,2.2566572512168444,1.0,True,0.995,0.7140000000000001,0.25,0.030000000000000002,0.001
LongBeach,306365,17.616395725438625,1.0,True,3.045,0.9930000000000001,0.9410000000000001,0.8069999999999999,0.304
LongBeach,306369,6.640752360990892,1.0,True,1.89,0.8999999999999999,0.61,0.365,0.015
LongBeach,306444,1.9634283867777502,1.0,True,0.9400000000000001,0.682,0.21000000000000002,0.048,0.0
LongBeach,306450,2.877602111271867,1.0,True,1.18,0.7589999999999999,0.32899999999999996,0.091,0.001
LongBeach,306489,0.21624928636261578,1.0,False,0.184,0.18,0.004,0.0,0.0
LongBeach,306623,4.7266326701721955,1.0,True,1.566,0.852,0.481,0.23,0.003
LongBeach,306694,0.9472091696912212,1.0,False,0.5970000000000001,0.513,0.075,0.009,0.0
LongBeach,306768,0.4978487183795446,1.0,False,0.369,0.34400000000000003,0.025,0.0,0.0
LongBeach,306844,11.445313234881471,1.0,True,2.4640000000000004,0.9720000000000001,0.8150000000000001,0.537,0.14
LongBeach,307039,25.821549975584034,1.0,True,3.506,1.0,0.9829999999999999,0.9359999999999999,0.587
LongBeach,307274,12.580869910888024,1.0,True,2.729,0.97,0.871,0.779,0.109
LongBeach,307373,25.533856483401497,1.0,True,3.4989999999999997,0.998,0.976,0.939,0.586
LongBeach,307512,0.41828414933808744,1.0,False,0.33199999999999996,0.308,0.023,0.001,0.0
LongBeach,307557,3.992213365853713,1.0,True,1.432,0.8250000000000001,0.427,0.179,0.001
LongBeach,307564,1.0378813848111217,1.0,True,0.609,0.51,0.09,0.009,0.0
LongBeach,307693,0.3746005603607616,1.0,False,0.271,0.244,0.026000000000000002,0.001,0.0
LongBeach,307785,0.676163306243103,1.0,False,0.476,0.42,0.053000000000000005,0.003,0.0
LongBeach,307832,6.491044046415813,1.0,True,1.888,0.94,0.649,0.27,0.029
LongBeach,308206,0.5227675851361633,1.0,False,0.398,0.365,0.033,0.0,0.0
LongBeach,308269,3.165913553550302,1.0,True,1.2640000000000002,0.8210000000000001,0.36000000000000004,0.08,0.003
LongBeach,308367,11.094131434341506,1.0,True,2.455,0.982,0.8079999999999999,0.5389999999999999,0.126
LongBeach,308471,6.890042144011974,1.0,True,1.939,0.898,0.634,0.391,0.016
LongBeach,308494,0.3998636443259221,1.0,False,0.33199999999999996,0.314,0.018,0.0,0.0
LongBeach,308540,12.282588386916238,1.0,True,2.551,0.984,0.8440000000000001,0.578,0.145
LongBeach,308581,6.75488886056304,1.0,True,1.933,0.909,0.621,0.388,0.015
LongBeach,308786,2.84999458648433,1.0,True,1.1500000000000001,0.7710000000000001,0.318,0.058,0.003
