t,lcc_size,avg_degree,lcc_fraction
366.0,50,7.92,1.0
367.0,50,7.92,1.0
368.0,50,7.92,1.0
369.0,50,7.92,1.0
370.0,50,7.92,1.0
371.0,50,7.92,1.0
372.0,50,7.92,1.0
373.0,50,7.92,1.0
374.0,50,7.92,1.0
375.0,50,7.92,1.0
376.0,50,7.92,1.0
377.0,50,7.92,1.0
378.0,50,7.92,1.0
379.0,50,7.92,1.0
380.0,50,7.92,1.0
381.0,50,7.92,1.0
382.0,50,7.92,1.0
383.0,50,7.92,1.0
384.0,50,7.92,1.0
385.0,50,7.92,1.0
386.0,50,7.92,1.0
387.0,50,7.92,1.0
388.0,50,7.92,1.0
389.0,50,7.92,1.0
390.0,50,7.92,1.0
391.0,50,7.92,1.0
392.0,50,7.92,1.0
393.0,50,7.92,1.0
394.0,50,7.92,1.0
395.0,50,7.92,1.0
396.0,50,7.92,1.0
397.0,50,7.92,1.0
398.0,50,7.92,1.0
399.0,50,7.92,1.0
400.0,50,7.92,1.0
401.0,50,7.92,1.0
402.0,50,7.92,1.0
403.0,50,7.92,1.0
404.0,50,7.92,1.0
405.0,50,7.92,1.0
406.0,50,7.92,1.0
407.0,50,7.92,1.0
408.0,50,7.92,1.0
409.0,50,7.92,1.0
410.0,50,7.92,1.0
411.0,50,7.92,1.0
412.0,50,7.92,1.0
413.0,50,7.92,1.0
414.0,50,7.92,1.0
415.0,50,7.92,1.0
416.0,50,7.92,1.0
417.0,50,7.92,1.0
418.0,50,7.92,1.0
419.0,50,7.92,1.0
420.0,50,7.92,1.0
421.0,50,7.92,1.0
422.0,50,7.92,1.0
423.0,50,7.92,1.0
424.0,50,7.92,1.0
425.0,50,7.92,1.0
426.0,50,7.92,1.0
427.0,50,7.92,1.0
428.0,50,7.92,1.0
429.0,50,7.92,1.0
430.0,50,7.92,1.0
431.0,50,7.92,1.0
432.0,50,7.92,1.0
433.0,50,7.92,1.0
434.0,50,7.92,1.0
435.0,50,7.92,1.0
436.0,50,7.92,1.0
437.0,50,7.92,1.0
438.0,50,7.92,1.0
439.0,50,7.92,1.0
440.0,50,7.92,1.0
441.0,50,7.92,1.0
442.0,50,7.92,1.0
443.0,50,7.92,1.0
444.0,50,7.92,1.0
445.0,50,7.92,1.0
446.0,50,7.92,1.0
447.0,50,7.92,1.0
448.0,50,7.92,1.0
449.0,50,7.92,1.0
450.0,50,7.92,1.0
451.0,50,7.92,1.0
452.0,50,7.92,1.0
453.0,50,7.92,1.0
454.0,50,7.92,1.0
455.0,50,7.92,1.0
456.0,50,7.92,1.0
457.0,50,7.92,1.0
458.0,50,7.92,1.0
459.0,50,7.92,1.0
460.0,50,7.92,1.0
461.0,50,7.92,1.0
462.0,50,7.92,1.0
463.0,50,7.92,1.0
464.0,50,7.92,1.0
465.0,50,7.92,1.0
466.0,50,7.92,1.0
467.0,50,7.92,1.0
468.0,50,7.92,1.0
469.0,50,7.92,1.0
470.0,50,7.92,1.0
471.0,50,7.92,1.0
472.0,50,7.92,1.0
473.0,50,7.92,1.0
474.0,50,7.92,1.0
475.0,50,7.92,1.0
476.0,50,7.92,1.0
477.0,50,7.92,1.0
478.0,50,7.92,1.0
479.0,50,7.92,1.0
480.0,50,7.92,1.0
