u,v,length_km,n_nodes,n_edges
301105,301194,32.376209493861836,194,193
301194,304217,19.11774163325138,75,74
300589,301194,5.36422954854579,43,42
300144,301194,34.86214420875279,209,208
301194,301332,1.7304793600797086,17,16
301194,303858,4.184768494098918,27,26
301194,303776,5.270929150394152,37,36
301194,305021,35.72498976627323,233,232
301194,306768,12.361561483486946,54,53
301194,307800,31.568289148224675,189,188
300493,303620,5.863730142894314,29,28
301105,308325,6.327290873246472,36,35
300589,301105,34.27505336466482,214,213
300144,301105,2.8504914069913507,16,15
301105,301332,30.896477736084112,186,185
301105,305021,5.446087775464134,51,50
301105,307800,3.847065411666178,25,24
308581,309553,31.03728781385464,193,192
300601,309553,23.686137832258282,155,154
300704,309553,28.20236153714458,189,188
309284,309553,19.872344734435877,134,133
304217,309569,16.273131925824412,72,71
303487,309569,3.986771999794635,30,29
306489,309569,12.778365802936026,78,77
309569,310442,7.749094476485541,50,49
308581,309722,29.19544207251799,184,183
300601,308581,8.784884487509498,46,45
301637,308581,32.04950754810803,214,213
306063,308581,4.4829574775607135,37,36
300704,308581,7.351589160782922,39,38
301555,308581,3.719958445626495,37,36
304217,310199,26.287405893894192,112,111
300589,304217,21.016585504054362,95,94
304217,306691,27.588319168121153,133,132
303487,304217,12.336439121370406,47,46
301332,304217,17.638009875473657,67,66
304217,306489,26.184325158336176,124,123
304217,306768,14.035538924313718,58,57
303620,308991,4.815925307611086,56,55
306691,310199,1.675119042765955,21,20
306489,310199,1.0012584691860356,6,5
303265,310199,20.016450271000245,78,77
310199,310442,17.80356894206475,92,91
300601,304450,10.902282791980632,65,64
304450,309284,12.981260413219474,68,67
300601,309722,21.844292090921627,146,145
300704,309722,26.36051579580792,180,179
309284,309722,18.030498993099215,125,124
300601,301637,24.698357566511643,176,175
300601,300704,5.949958210799437,42,41
300601,309284,5.207682543696968,36,35
307800,308325,8.367275112464759,55,54
300144,300589,36.76098807955579,229,228
300589,301332,3.884497790768076,35,34
300589,305021,37.62383363707621,253,252
300589,306768,14.260405354289936,74,73
300589,307800,33.46713301902767,209,208
300144,301332,33.38241245097505,201,200
300144,305021,7.112686955146456,60,59
300144,307800,6.635977229123765,40,39
300704,301637,29.214581271397932,210,209
301637,309284,20.884564468689234,155,154
301555,306063,3.0314227067331676,32,31
303265,306691,21.005608917317726,93,92
306691,310442,19.104482216291718,113,112
300704,309284,9.723906248583269,70,69
303487,310442,3.812401672031536,25,24
301332,305021,34.24525800849551,225,224
301332,306768,10.88182972570923,46,45
301332,307800,30.08855739044696,181,180
303776,303858,5.616105825608867,41,40
303776,305781,4.238776207010529,40,39
303265,306489,20.93552681108573,91,90
306489,310442,17.660287708997306,102,101
305021,307800,7.50524773523649,62,61
