wkt_geom,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,lon,lat,fragility_median,fragility_beta,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4
Point (-13191412.84569999948143959 4069873.76669999957084656),2584,SCE,,CEC,SUBSTATION,306691,Sylmar-Pac Intertie,,91344,CA,Los Angeles County,Los Angeles,-118.5004778,34.30532499779853,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13169122.42190000042319298 4000349.75999999791383743),2590,SCE,,CEC,SUBSTATION,300704,Unknown,66,90710,CA,Los Angeles County,Los Angeles,-118.3002395,33.78784139059503,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13178951.10190000012516975 4058747.34549999982118607),2751,LADWP,LADWP-N,CEC,SUBSTATION,303487,Station 67,66,91352,CA,Los Angeles County,Los Angeles,-118.388532,34.22272085309232,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13165503.81659999862313271 4044001.74549999833106995),2756,SCE,,CEC,SUBSTATION,301332,Unknown,66,90027,CA,Los Angeles County,Los Angeles,-118.267733,34.11312248855284,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13160884.30389999970793724 4045020.64970000088214874),2757,SCE,,CEC,SUBSTATION,303858,Unknown,66,90065,CA,Los Angeles County,Los Angeles,-118.2262352,34.12070018639731,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13159569.0421999990940094 4040454.05849999934434891),2758,SCE,,CEC,SUBSTATION,303776,Unknown,66,90065,CA,Los Angeles County,Los Angeles,-118.21442,34.086732667683194,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13156781.9232999999076128 4044111.53760000318288803),2759,SCE,,CEC,SUBSTATION,305781,Unknown,66,90042,CA,Los Angeles County,Los Angeles,-118.1893829,34.11393905602914,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13189179.39169999957084656 4070759.16979999840259552),3145,LADWP,,CEC,SUBSTATION,306489,Sylmar East,,91342,CA,Los Angeles County,Los Angeles,-118.4804143,34.31189487154974,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13162416.80849999934434891 3998355.36270000040531158),3148,LADWP,,CEC,SUBSTATION,301555,Station 119,,90744,CA,Los Angeles County,Los Angeles,-118.240002,33.77295008350205,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13197612.94299999997019768 4065289.75370000302791595),3606,,,HIFLD,SUBSTATION,303265,Unknown,,91326,CA,Los Angeles County,Los Angeles,-118.5561742,34.2713024560517,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13187723.62179999984800816 4038451.07810000330209732),3689,,,HIFLD,SUBSTATION,305021,Unknown,,90049,CA,Los Angeles County,Los Angeles,-118.4673369,34.07182966615358,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13173221.07079999893903732 4045424.85429999977350235),3919,,,HIFLD,SUBSTATION,306768,Unknown,230,90068,CA,Los Angeles County,Los Angeles,-118.3370583,34.12370611066311,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13183792.49399999901652336 4035569.37439999729394913),3975,,,HIFLD,SUBSTATION,307800,Unknown,66,90025,CA,Los Angeles County,Los Angeles,-118.432023,34.05038399994459,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13168162.06890000030398369 4008298.3903999999165535),4187,,,HIFLD,SUBSTATION,309284,Unknown,,90502,CA,Los Angeles County,Los Angeles,-118.2916125,33.84716466519941,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
Point (-13177952.73230000026524067 4054508.82150000333786011),4243,,,HIFLD,SUBSTATION,310442,Unknown,500,91606,CA,Los Angeles County,Los Angeles,-118.3795635,34.191232111852045,0.4,0.6,-1.8,-1.15,-0.67,-0.31,0.6,0.6,0.6,0.6
