u,v,length_km
308269,309843,49.841836213737956
308269,310199,46.664650616678486
308269,310442,27.84887682559687
308269,310527,7.213177718026048
300429,308269,25.45939822094851
307693,308269,42.65091994448248
300589,309042,14.190335206850477
301332,309042,10.547599251834033
301636,309042,35.903655610786075
302171,309042,40.343628769854064
303776,309042,11.85388423433188
303858,309042,10.768616084486549
306691,309042,43.210711705979165
307800,309042,37.08482134506588
309042,310458,32.63579708244873
300144,309042,43.6829612565484
301105,309042,41.21505023906854
301194,309042,9.697378992342566
301214,309042,41.87274411271694
303265,309042,62.82096481103877
303487,309042,28.03295990480047
304217,309042,27.849436099336828
306152,309042,41.434722573322034
306489,309042,42.40793102999665
306768,309042,21.218679508113965
309042,309553,50.699323979321974
309042,309569,31.812346475659023
309042,309843,46.1419245748058
309042,310199,42.96473897774633
309042,310442,24.1489651866647
309042,310527,3.472796307282161
300429,309042,21.75948658201634
307693,309042,38.95100830555032
300589,301332,3.9175837717572377
300589,301636,28.98330526437988
300589,302171,33.423278423447876
300589,306691,36.290361359572934
300589,307800,30.164470998659684
300589,310458,25.715446736042527
300144,300589,36.7626109101422
300589,301105,34.29469989266233
300589,301194,5.363035486792972
300589,301214,34.95239376631073
300589,303265,55.90061446463254
300589,303487,21.112609558394258
300589,304217,20.92908575293063
300589,306152,34.51437222691584
300589,306489,35.48758068359041
300589,306768,14.298329161707766
300589,309569,24.891996129252828
300589,309843,39.22157422839961
300589,310199,36.04438863134015
300589,310442,17.228614840258505
300589,310527,10.892565630026482
300429,300589,14.839136235610152
300589,307693,32.030657959144115
301332,301636,25.630904175692855
301332,302171,30.07087733476085
301332,306691,32.93796027088592
301332,307800,26.81206990997266
301332,310458,22.363045647355502
300144,301332,33.41020982145516
301105,301332,30.942298803975312
301194,301332,1.7202995317765308
301214,301332,31.599992677623714
301332,303265,52.548213375945544
301332,303487,17.760208469707237
301332,304217,17.576684664243604
301332,306152,31.161971138228814
301332,306489,32.13517959490342
301332,306768,10.945928073020742
301332,309569,21.539595040565803
301332,309843,35.86917313971258
301332,310199,32.69198754265314
301332,310442,13.876213751571486
301332,310527,7.249829675010039
300429,301332,11.486735146923126
301332,307693,28.678256870457105
301636,302171,35.80172855165397
301636,306691,20.491224794884005
301636,307800,32.54292112686579
301636,310458,9.63518843359816
300144,301636,39.14106103834828
301105,301636,36.67315002086841
301194,301636,27.07635589072858
301214,301636,18.83336379033909
301636,303265,39.781584488660926
301636,303487,12.972394813672354
301636,304217,20.282122169690428
301636,306152,18.395342250944193
301636,306489,19.36855070761879
301636,306768,22.03327105096157
301636,309569,9.361833721125759
301636,309843,41.600024356605694
301636,310199,19.925358655368512
301636,310442,11.761184371812938
301636,310527,32.605886033962086
300429,301636,14.267591616893322
301636,307693,16.253194616257005
302171,307800,3.3011704968239624
302171,310458,32.53387002331663
300144,302171,4.001331218764707
302171,303099,8.952783745744982
301105,302171,2.3527557364934677
301194,302171,31.516329049796564
301214,302171,41.77081705358482
302171,303487,27.93103284566836
302171,304217,27.74750904020473
302171,305021,4.253013594028799
302171,306152,41.33279551418993
302171,306489,42.306003970864495
302171,306768,25.097173848989865
302171,308325,8.075418956792605
302171,309569,31.71041941652693
302171,309843,6.460294537022125
302171,310199,42.862811918614234
302171,310442,24.047038127532606
302171,310527,37.04585919303009
300429,302171,21.657559522884245
306691,307800,39.849977222058875
306691,310458,16.324333284143947
301194,306691,34.383411985921654
301214,306691,3.435987944468602
303265,306691,21.009567665541457
304217,306691,27.58917826488351
306152,306691,7.2449837828029695
306489,306691,3.0984510541639296
306691,306768,29.340327146154642
306691,309569,15.964440866300787
306691,310199,3.5566443262757286
306691,310442,19.10844096451545
306691,310527,39.91294212915519
306691,307693,5.397067819576796
307800,310458,29.27506259852845
300144,307800,6.634078034925996
303099,307800,7.179108899656065
301105,307800,4.166167017446135
301194,307800,28.257521625008394
301214,307800,38.51200962879666
303265,307800,59.460230327118474
303487,307800,24.67222542088018
304217,307800,24.488701615416552
306152,307800,38.07398808940177
306489,307800,39.047196546076336
306768,307800,21.83836642420169
307800,308325,8.373187419336013
307800,309569,28.45161199173875
307800,309843,9.093041353183411
307800,310199,39.604004493826075
307800,310442,20.78823070274443
307800,310527,33.78705176824191
300429,307800,18.398752098096068
307693,307800,35.59027382163004
300144,310458,35.87320251001097
301105,310458,33.4052914925311
301194,310458,23.80849736239124
301214,310458,13.295877447456432
303265,310458,34.24409814577826
304217,310458,17.014263641353093
306152,310458,12.857855908061538
306489,310458,13.83106436473613
306768,310458,18.76541252262423
309569,310458,3.8000265038704026
309843,310458,38.33216582826838
310199,310458,14.387872312485857
310442,310458,8.493325843475601
310458,310527,29.338027505624748
300429,310458,10.999733088555985
307693,310458,12.133795296622212
300144,303099,11.793987997477313
300144,301105,2.8642036287216768
300144,301194,34.85566153649089
300144,303487,31.270365332362683
300144,304217,31.08684152689905
300144,305021,7.110849239284247
300144,306768,28.436506335684186
300144,308325,10.91662320852493
300144,309569,35.04975190322127
300144,309843,2.5350438056779776
300144,310442,27.38637061422693
300144,310527,40.385191679724436
300144,300429,24.99689200957857
301105,303099,9.326076979997454
301105,301194,32.38775051901103
301105,303487,28.802454314882823
301105,304217,28.618930509419194
301105,305021,5.462273757013011
301105,306768,25.96859531820433
301105,308325,8.448712191045079
301105,309569,32.58184088574139
301105,309843,5.329448955400459
301105,310442,24.91845959674707
301105,310527,37.917280662244565
300429,301105,22.52898099209871
301194,303776,5.309600888248287
301194,303858,4.224332738402957
301194,301214,33.04544439265945
301194,303265,53.99366509098126
301194,303487,19.20566018474297
301194,304217,19.022136379279342
301194,306152,32.60742285326455
301194,306489,33.58063130993913
301194,306768,12.391379788056476
301194,309569,22.985046755601537
301194,309843,37.31462485474831
301194,310199,34.13743925768886
301194,310442,15.321665466607222
301194,310527,6.399609415518576
300429,301194,12.93218686195886
301194,307693,30.123708585492835
301214,303265,21.187447259926977
301214,304217,26.25121067162129
301214,306152,4.57024814227867
301214,306489,0.7744134788848472
301214,306768,28.002359552892422
301214,309569,12.935985029613265
301214,310199,1.3312214266345728
301214,310442,17.7302728737438
301214,310527,38.57497453589296
300429,301214,20.236680118824186
301214,307693,5.16190913062422
303265,304217,47.199431369943134
303265,306152,24.996443098261338
303265,306489,20.849910369622307
303265,306768,48.95058025121424
303265,309569,33.884205727935104
303265,310199,21.308103641734107
303265,310442,38.67849357206562
303265,310527,59.523195234214796
300429,303265,41.18490081714601
303265,307693,23.880787515800975
303487,304217,12.411426463704835
303487,306768,14.162575344975968
303487,309569,3.900120676769746
303487,309843,33.729328650620104
303487,310442,3.89048866582734
303487,310527,24.73519032797649
300429,303487,6.374242255236329
304217,306152,25.813189132226398
304217,306489,26.786397588901
304217,306768,13.97905153951233
304217,309569,16.190813034563398
304217,309843,33.54580484515647
304217,310199,27.34320553665072
304217,310442,8.529968326866928
304217,310527,24.551666522512846
300429,304217,6.338721610326572
304217,307693,23.32947486445469
306152,306489,4.844895795527082
306152,306768,27.564338013497526
306152,309569,12.497963490218371
306152,310199,5.401703743276806
306152,310442,17.292251334348904
306152,310527,38.13695299649806
300429,306152,19.79865857942929
306152,307693,4.723887591229328
306489,306768,28.537546470172124
306489,309569,13.471171946892964
306489,310199,0.9445494534472259
306489,310442,18.2654597910235
306489,310527,39.11016145317267
300429,306489,20.77186703610388
306489,307693,5.697096047903919
306768,308206,3.0736326950951915
306768,309569,17.941961915834526
306768,309843,30.895469653941603
306768,310199,29.094354417921856
306768,310442,10.278580626840206
306768,310527,17.92090993128998
300429,306768,7.889102022191847
306768,307693,25.08062374572582
309569,309843,37.50871522147869
309569,310199,14.02797989464269
309569,310442,7.669875236685912
309569,310527,28.51457689883506
300429,309569,10.176282481766295
307693,309569,11.773902878779047
303099,309843,14.252951315734736
300493,309843,20.320369906583437
303620,309843,14.367032544622672
305021,309843,9.569812557541669
308325,309843,13.375586526782355
309843,310442,29.845333932484355
309843,310527,42.84415499798186
300429,309843,27.455855327835994
307693,309843,30.898796026080127
310199,310442,18.82226773877322
310199,310527,39.6669694009224
300429,310199,21.328674983853606
307693,310199,6.253903995653645
310442,310527,20.851195609840726
300429,310442,2.5263661957443238
307693,310442,14.848737564086644
