u,v,length_km,n_nodes,n_edges
301636,309843,41.600024356605694,288,287
301636,310199,19.925358655368512,131,130
301636,310442,11.761184371812938,71,70
301636,310527,32.605886033962086,197,196
300429,301636,14.267591616893322,79,78
301636,307693,16.253194616257005,90,89
302171,307800,3.3011704968239624,19,18
302171,310458,32.53387002331663,201,200
300144,302171,4.001331218764707,24,23
302171,303099,8.952783745744982,52,51
301105,302171,2.3527557364934677,15,14
301194,302171,31.516329049796564,190,189
301214,302171,41.77081705358482,256,255
302171,303487,27.93103284566836,181,180
302171,304217,27.74750904020473,151,150
302171,305021,4.253013594028799,45,44
302171,306012,42.12597819938591,277,276
302171,306152,41.33279551418993,254,253
302171,306489,42.306003970864495,267,266
302171,306768,25.097173848989865,163,162
302171,308269,44.043540408786235,281,280
302171,308325,8.075418956792605,54,53
302171,309042,40.343628769854064,259,258
302171,309569,31.71041941652693,203,202
302171,309843,6.460294537022125,69,68
302171,310199,42.862811918614234,269,268
302171,310442,24.047038127532606,154,153
302171,310527,37.04585919303009,242,241
300429,302171,21.657559522884245,141,140
303776,303858,5.61699833205877,41,40
303776,305781,4.2385715554584875,40,39
303776,308581,51.528338010405605,309,308
303776,310179,47.84605058550932,293,292
301194,303776,5.309600888248287,39,38
303776,304450,46.13260826428225,280,279
303776,306012,13.636233663863747,97,96
303776,308269,15.553795873264042,101,100
303776,309042,11.85388423433188,79,78
303776,310527,8.556114657507887,62,61
303858,308581,50.44306986056026,299,298
303858,310179,46.76078243566397,283,282
301194,303858,4.224332738402957,29,28
303858,304450,45.0473401144369,270,269
303858,306012,12.550965514018415,87,86
303858,308269,14.468527723418713,91,90
303858,309042,10.768616084486549,69,68
303858,310527,7.470846507662557,52,51
301555,306063,3.0574196208946067,32,31
306063,308581,4.510258123724157,37,36
306063,310179,3.4322293569140205,24,23
306691,307800,39.849977222058875,242,241
306691,310458,16.324333284143947,127,126
306691,308581,82.88516548205283,484,483
306691,310179,79.20287805715655,468,467
301194,306691,34.383411985921654,185,184
301214,306691,3.435987944468602,43,42
303265,306691,21.009567665541457,93,92
304217,306691,27.58917826488351,134,133
304450,306691,77.48943573592949,455,454
306012,306691,44.99306113551101,272,271
306152,306691,7.2449837828029695,71,70
306489,306691,3.0984510541639296,39,38
306691,306768,29.340327146154642,168,167
306691,308269,46.910623344911336,276,275
306691,309042,43.210711705979165,254,253
306691,309569,15.964440866300787,126,125
306691,310199,3.5566443262757286,40,39
306691,310442,19.10844096451545,113,112
306691,310527,39.91294212915519,237,236
306691,307693,5.397067819576796,33,32
307800,310458,29.27506259852845,179,178
300144,307800,6.634078034925996,40,39
303099,307800,7.179108899656065,37,36
301105,307800,4.166167017446135,25,24
301194,307800,28.257521625008394,168,167
301214,307800,38.51200962879666,234,233
303265,307800,59.460230327118474,327,326
303487,307800,24.67222542088018,159,158
304217,307800,24.488701615416552,129,128
306012,307800,38.86717077459773,255,254
306152,307800,38.07398808940177,232,231
306489,307800,39.047196546076336,245,244
306768,307800,21.83836642420169,141,140
307800,308269,40.78473298399806,259,258
307800,308325,8.373187419336013,55,54
307800,309042,37.08482134506588,237,236
307800,309569,28.45161199173875,181,180
307800,309843,9.093041353183411,85,84
307800,310199,39.604004493826075,247,246
307800,310442,20.78823070274443,132,131
307800,310527,33.78705176824191,220,219
300429,307800,18.398752098096068,119,118
307693,307800,35.59027382163004,199,198
301638,309722,17.65898484739959,128,127
309284,309722,18.098928544515466,130,129
304137,309722,17.810826573485866,128,127
306623,309722,14.04221429134813,94,93
308581,309722,29.26816318878066,189,188
301100,309722,2.015649637073268,18,17
304073,309722,41.66434980893137,267,266
306012,309722,50.44160004128819,321,320
308269,309722,45.909013274386226,289,288
309042,309722,48.944410932562946,311,310
300144,310458,35.87320251001097,220,219
308581,310458,72.31025085852242,421,420
310179,310458,68.62796343362616,405,404
301105,310458,33.4052914925311,205,204
301194,310458,23.80849736239124,122,121
301214,310458,13.295877447456432,81,80
