OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
206382626,22434,LAUREL HEIGHTS COMMUNITY CARE,220000109,Skilled Nursing Facility,2740 CALIFORNIA STREET,SAN FRANCISCO,94115,38,San Francisco,Not Applicable,32,Open,1962-02-26,Long Term Care Facility,Skilled Nursing Facility,37.78850370,-122.43977900
206382635,22408,SAN FRANCISCO POST ACUTE,220000110,Skilled Nursing Facility,5767 MISSION STREET,SAN FRANCISCO,94112,38,San Francisco,Not Applicable,53,Open,1964-08-17,Long Term Care Facility,Skilled Nursing Facility,37.70948330,-122.44951050
206384050,25017,SAN FRANCISCO TOWERS,220000383,Skilled Nursing Facility,1661 PINE STREET,SAN FRANCISCO,94109,38,San Francisco,Not Applicable,27,Open,1998-02-17,Long Term Care Facility,Skilled Nursing Facility,37.78912360,-122.42301420
206390021,,MY FRIENDS PEDIATRIC DAY HEALTH CARE CENTER,550001883,Intermediate Care Facility,2427 N. CALIFORNIA STREET,STOCKTON,95204,39,San Joaquin,Not Applicable,,Open,2025-04-10,Long Term Care Facility,Intermediate Care Facility,37.97595490,-121.29156200
206390396,,INTEGRITY CARE GROUP LLC,550008218,Congregate Living Health Facility,295 MCNARY CIRCLE,MANTECA,95336,39,San Joaquin,Not Applicable,18,Open,2023-05-18,Long Term Care Facility,Congregate Living Health Facility,37.80081320,-121.19478980
206390796,20727,BETHANY HOME SOCIETY OF SAN JOAQUIN COUNTY,100000015,Skilled Nursing Facility,930 WEST MAIN STREET,RIPON,95366,39,San Joaquin,Not Applicable,92,Open,1963-08-30,Long Term Care Facility,Skilled Nursing Facility,37.73895020,-121.13431840
206390826,20728,BROOKSIDE CARE CENTER,100000021,Skilled Nursing Facility,1221 ROSE MARIE LANE,STOCKTON,95207,39,San Joaquin,Not Applicable,99,Open,1965-12-24,Long Term Care Facility,Skilled Nursing Facility,37.98741550,-121.31986160
206390865,20730,DELTA OAKS POST ACUTE,100000034,Skilled Nursing Facility,6940 PACIFIC AVENUE,STOCKTON,95207,39,San Joaquin,Not Applicable,128,Open,1963-02-01,Long Term Care Facility,Skilled Nursing Facility,38.01354250,-121.32051940
206390873,20731,FAIRMONT REHABILITATION HOSPITAL,100000039,Skilled Nursing Facility,950 SOUTH FAIRMONT AVENUE,LODI,95240,39,San Joaquin,Not Applicable,59,Open,1966-10-31,Long Term Care Facility,Skilled Nursing Facility,38.12156450,-121.28539080
206390894,20735,LODI CREEK POST ACUTE,100000044,Skilled Nursing Facility,321 WEST TURNER ROAD,LODI,95240,39,San Joaquin,Not Applicable,86,Open,1957-10-28,Long Term Care Facility,Skilled Nursing Facility,38.14637000,-121.27770600
206390902,20738,GOOD SAMARITAN REHABILITATION AND CARE CENTER,100000048,Skilled Nursing Facility,1630 NORTH EDISON STREET,STOCKTON,95204,39,San Joaquin,Not Applicable,98,Open,1958-01-01,Long Term Care Facility,Skilled Nursing Facility,37.96688750,-121.30393670
206390910,20739,STOCKTON NURSING CENTER,100000051,Skilled Nursing Facility,4545 SHELLEY COURT,STOCKTON,95207,39,San Joaquin,Not Applicable,119,Open,1963-03-25,Long Term Care Facility,Skilled Nursing Facility,37.99245420,-121.30367150
206390916,20740,"FULTON GARDENS POST ACUTE, LLC",030000054,Skilled Nursing Facility,537 EAST FULTON STREET,STOCKTON,95204,39,San Joaquin,Not Applicable,116,Open,1967-11-06,Long Term Care Facility,Skilled Nursing Facility,37.98538370,-121.29366000
206390929,22711,GUARDIAN CARE AND REHAB CENTER,100000057,Skilled Nursing Facility,410 EASTWOOD AVENUE,MANTECA,95336,39,San Joaquin,Not Applicable,176,Open,1970-09-15,Long Term Care Facility,Skilled Nursing Facility,37.81724950,-121.22263530
206390973,20748,HARVEST CROSSING POST ACUTE,100000071,Skilled Nursing Facility,469 EAST NORTH STREET,MANTECA,95336,39,San Joaquin,Not Applicable,99,Open,1964-01-01,Long Term Care Facility,Skilled Nursing Facility,37.80163370,-121.21123650
206391045,20755,NOBLE CARE CENTER,030000097,Skilled Nursing Facility,2740 N CALIFORNIA STREET,STOCKTON,95204,39,San Joaquin,Not Applicable,99,Open,1967-02-14,Long Term Care Facility,Skilled Nursing Facility,37.97760810,-121.29021830
206391070,20760,VIENNA NURSING AND REHABILITATION CENTER,100000111,Skilled Nursing Facility,800 SOUTH HAM LANE,LODI,95242,39,San Joaquin,Not Applicable,150,Open,1963-02-23,Long Term Care Facility,Skilled Nursing Facility,38.12375010,-121.28783980
206391887,23998,LODI NURSING & REHABILITATION,030000138,Skilled Nursing Facility,1334 SOUTH HAM LANE,LODI,95242,39,San Joaquin,Not Applicable,74,Open,1977-02-14,Long Term Care Facility,Skilled Nursing Facility,38.11582840,-121.28724540
206392202,22988,HAMPTON POST ACUTE,100000148,Skilled Nursing Facility,442 E. HAMPTON STREET,STOCKTON,95204,39,San Joaquin,Not Applicable,120,Open,1972-06-07,Long Term Care Facility,Skilled Nursing Facility,37.97475730,-121.29195240
206392288,20758,TRACY NURSING AND REHABILITATION CENTER,100000204,Skilled Nursing Facility,545 WEST BEVERLY PLACE,TRACY,95376,39,San Joaquin,Not Applicable,62,Open,1965-05-10,Long Term Care Facility,Skilled Nursing Facility,37.74537290,-121.43427930
206392310,20744,LINCOLN SQUARE POST ACUTE CARE,100000209,Skilled Nursing Facility,1032 NORTH LINCOLN STREET,STOCKTON,95203,39,San Joaquin,Not Applicable,68,Open,1962-09-14,Long Term Care Facility,Skilled Nursing Facility,37.96201990,-121.30024660
206392330,25217,ARBOR REHABILITATION & NURSING CENTER,100000220,Skilled Nursing Facility,900 NORTH CHURCH STREET,LODI,95240,39,San Joaquin,Not Applicable,149,Open,1984-02-17,Long Term Care Facility,Skilled Nursing Facility,38.14459750,-121.27368080
206392343,22627,CRESTWOOD MANOR - STOCKTON,100000227,Skilled Nursing Facility,1130 MONACO COURT,STOCKTON,95207,39,San Joaquin,Not Applicable,190,Open,1970-10-02,Long Term Care Facility,Skilled Nursing Facility,37.98830890,-121.31922150
206392394,25718,RIVERWOOD HEALTH CARE,100000288,Skilled Nursing Facility,5320 CARRINGTON CIRCLE,STOCKTON,95210,39,San Joaquin,Not Applicable,99,Open,1986-10-14,Long Term Care Facility,Skilled Nursing Facility,38.00549030,-121.29391510
206394001,25811,NORTH PARK POST-ACUTE,100000285,Skilled Nursing Facility,2586 BUTHMANN AVE,TRACY,95376,39,San Joaquin,Not Applicable,99,Open,1987-02-23,Long Term Care Facility,Skilled Nursing Facility,37.75561990,-121.43142840
206394003,25872,CLEARWATER HEALTHCARE CENTER,100000349,Skilled Nursing Facility,1517 KNICKERBOCKER DR.,STOCKTON,95210,39,San Joaquin,Not Applicable,120,Open,1988-04-19,Long Term Care Facility,Skilled Nursing Facility,38.02515850,-121.29281070
