"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US06037107010","Census Tract 1070.10; Los Angeles County; California","793","87","8","14","34","34","22","22","0","13","29","28","59","41","127","78","294","86","183","77","37","28",
"1400000US06037107020","Census Tract 1070.20; Los Angeles County; California","1231","164","0","13","119","146","135","64","45","44","201","86","78","56","119","66","293","84","172","83","69","48",
"1400000US06037108101","Census Tract 1081.01; Los Angeles County; California","787","70","0","13","0","13","3","9","13","16","69","53","397","67","301","66","4","7","0","13","0","13",
"1400000US06037108102","Census Tract 1081.02; Los Angeles County; California","1221","100","0","13","0","13","17","28","24","27","152","67","812","133","134","82","22","32","40","55","20","28",
"1400000US06037108103","Census Tract 1081.03; Los Angeles County; California","1028","94","0","13","0","13","20","30","9","15","365","108","550","138","57","49","0","13","27","31","0","13",
"1400000US06037108104","Census Tract 1081.04; Los Angeles County; California","596","66","0","13","0","13","0","13","54","51","35","31","94","35","345","75","68","48","0","13","0","13",
"1400000US06037108202","Census Tract 1082.02; Los Angeles County; California","3607","362","299","155","1223","253","1907","350","70","73","0","19","67","98","10","17","31","53","0","19","0","19",
"1400000US06037108203","Census Tract 1082.03; Los Angeles County; California","1200","78","0","13","0","13","24","27","320","82","800","82","41","36","6","11","9","13","0","13","0","13",
"1400000US06037108204","Census Tract 1082.04; Los Angeles County; California","651","96","0","13","10","18","312","107","291","67","0","13","6","9","0","13","5","14","11","17","16","20",
"1400000US06037109100","Census Tract 1091; Los Angeles County; California","930","133","40","57","0","13","13","21","73","87","38","33","310","95","56","39","335","78","60","23","5","8",
"1400000US06037109200","Census Tract 1092; Los Angeles County; California","1123","149","0","13","55","53","29","33","56","46","85","59","255","114","208","110","435","124","0","13","0","13",
"1400000US06037109300","Census Tract 1093; Los Angeles County; California","971","102","6","9","0","13","15","16","16","25","5","9","36","29","185","75","650","114","13","14","45","38",
"1400000US06037109400","Census Tract 1094; Los Angeles County; California","1171","179","0","13","43","42","89","120","19","23","28","40","200","86","80","48","418","142","124","63","170","108",
"1400000US06037109500","Census Tract 1095; Los Angeles County; California","1015","100","10","15","0","13","145","90","24","22","95","70","87","63","70","57","253","87","201","107","130","69",
"1400000US06037109601","Census Tract 1096.01; Los Angeles County; California","1342","159","0","13","31","46","24","39","89","60","121","50","69","45","153","79","829","148","26","26","0","13",
"1400000US06037109603","Census Tract 1096.03; Los Angeles County; California","1242","150","0","13","20","23","28","33","42","42","101","62","147","72","193","150","619","108","92","58","0","13",
"1400000US06037109604","Census Tract 1096.04; Los Angeles County; California","922","90","0","13","0","13","0","13","13","17","187","85","33","27","67","34","573","82","39","29","10","11",
"1400000US06037109700","Census Tract 1097; Los Angeles County; California","1460","164","0","13","29","40","33","34","48","46","53","61","265","98","152","65","818","190","56","50","6","11",
"1400000US06037109800","Census Tract 1098; Los Angeles County; California","1524","220","0","13","16","24","34","33","40","34","3","10","89","62","145","73","1042","204","81","72","74","67",
"1400000US06037111100","Census Tract 1111; Los Angeles County; California","980","84","0","13","0","13","0","13","14","23","41","46","64","35","212","67","629","93","0","13","20","24",
"1400000US06037111201","Census Tract 1112.01; Los Angeles County; California","1099","126","0","13","0","13","7","13","12","15","24","17","98","115","199","91","705","117","37","35","17","18",
"1400000US06037111202","Census Tract 1112.02; Los Angeles County; California","2010","315","0","19","14","23","55","37","14","16","122","67","119","62","323","125","854","168","338","281","171","60",
"1400000US06037111204","Census Tract 1112.04; Los Angeles County; California","1889","148","0","19","0","19","16","18","116","57","212","98","393","104","983","169","162","66","0","19","7","12",
"1400000US06037111205","Census Tract 1112.05; Los Angeles County; California","1361","253","0","13","0","13","165","246","53","51","291","100","478","132","353","90","21","16","0","13","0","13",
"1400000US06037111206","Census Tract 1112.06; Los Angeles County; California","1505","99","0","13","37","51","0","13","0","13","33","34","118","62","584","133","731","130","2","9","0","13",
"1400000US06037111302","Census Tract 1113.02; Los Angeles County; California","1832","232","0","13","32","40","93","59","136","86","430","213","413","128","367","115","332","85","24","28","5","9",
"1400000US06037111303","Census Tract 1113.03; Los Angeles County; California","1483","231","0","13","33","28","0","13","91","83","193","82","421","260","202","124","435","100","108","90","0","13",
"1400000US06037111304","Census Tract 1113.04; Los Angeles County; California","1440","181","0","13","114","119","126","70","79","81","154","115","414","202","355","219","198","120","0","13","0","13",
"1400000US06037111401","Census Tract 1114.01; Los Angeles County; California","674","65","0","13","0","13","21","31","43","37","96","68","7","13","291","108","190","55","21","22","5","9",
