,TRACT,TRACTFIPS,SOVI_SCORE,NRI_ID
3655,702900,6037702900,27.29000092,T06037702900
3656,703002,6037703002,40.27999878,T06037703002
3657,703003,6037703003,48.16999817,T06037703003
3658,703100,6037703100,57.31000137,T06037703100
3659,703200,6037703200,36.91999817,T06037703200
3660,800101,6037800101,28.42000008,T06037800101
3661,800103,6037800103,31.59000015,T06037800103
3662,800104,6037800104,3.930000067,T06037800104
3663,800202,6037800202,15.36999989,T06037800202
3664,800204,6037800204,32.20999908,T06037800204
3665,800205,6037800205,26.94000053,T06037800205
3666,800206,6037800206,3.269999981,T06037800206
3667,800324,6037800324,14.42000008,T06037800324
3668,800325,6037800325,8.920000076,T06037800325
3669,800328,6037800328,2.609999895,T06037800328
3670,800333,6037800333,36.56000137,T06037800333
3671,800334,6037800334,35.09000015,T06037800334
3672,800335,6037800335,38.47000122,T06037800335
3673,800336,6037800336,10.51000023,T06037800336
3674,800337,6037800337,29.87999916,T06037800337
3675,800338,6037800338,5.420000076,T06037800338
3676,800406,6037800406,29.88999939,T06037800406
3677,800410,6037800410,5.230000019,T06037800410
3678,800411,6037800411,7.400000095,T06037800411
3679,800412,6037800412,51.52000046,T06037800412
3680,800504,6037800504,11.39999962,T06037800504
3681,800506,6037800506,14.86999989,T06037800506
3682,900102,6037900102,80.12000275,T06037900102
3683,900103,6037900103,86.80999756,T06037900103
3684,900104,6037900104,88.81999969,T06037900104
3685,900301,6037900301,82.25,T06037900301
3686,900501,6037900501,83.80000305,T06037900501
3687,900504,6037900504,72.68000031,T06037900504
3688,900505,6037900505,90.51999664,T06037900505
3689,900506,6037900506,53.59000015,T06037900506
3690,900508,6037900508,71.95999908,T06037900508
3691,900509,6037900509,76.37000275,T06037900509
3692,900510,6037900510,59.06999969,T06037900510
3693,900602,6037900602,94.04000092,T06037900602
3694,900606,6037900606,78.91999817,T06037900606
3695,900607,6037900607,65.41999817,T06037900607
3696,900608,6037900608,76.94999695,T06037900608
3697,900609,6037900609,90.66000366,T06037900609
3698,900610,6037900610,64.43000031,T06037900610
3699,900611,6037900611,64.65000153,T06037900611
3700,900701,6037900701,94.75,T06037900701
3701,900703,6037900703,89.01000214,T06037900703
3702,900704,6037900704,82.15000153,T06037900704
3703,900705,6037900705,93.84999847,T06037900705
3704,900804,6037900804,95.37999725,T06037900804
3705,900805,6037900805,90.76000214,T06037900805
3706,900806,6037900806,99.84999847,T06037900806
3707,900807,6037900807,70.37999725,T06037900807
3708,900808,6037900808,60.61000061,T06037900808
3709,900901,6037900901,48.31999969,T06037900901
3710,900902,6037900902,28.04000092,T06037900902
