u,v,length_km
301105,309843,5.396993284714182
301108,302923,1.7226527421214446
301108,307557,0.5382851253437774
301108,309553,3.9412382477488404
301108,309703,2.5081732351130026
301156,302171,9.60033160823411
301156,308494,23.031920502512193
301156,308786,28.205782679533975
301156,309663,17.370081053441574
301194,301558,9.340133363022073
301194,306768,12.409013540392225
301194,307693,30.16856427459897
301194,307785,12.350685030535539
301194,308494,6.582811837689344
301194,310527,6.336959262649847
301214,310199,1.4959671723131
301541,305984,17.70293117331065
301541,306060,8.272321871480873
301541,307564,8.961728432805563
301541,308907,2.300818025084375
301541,310504,9.005218158340622
301543,301637,8.575870201374402
301543,302164,14.054449077627751
301543,302297,1.8167842456789398
301543,306091,2.0916809264047576
301543,307832,3.3803344990484443
301543,309156,5.148406869336892
301543,309758,12.349486503933532
301543,310204,3.589833292255055
301558,303371,25.169436394148295
301558,304040,7.077560291393336
301558,306489,41.9141840114924
301558,307512,13.715793236608182
301558,307785,17.326319892915116
301558,308907,21.555387974897425
301558,310199,41.30352322442215
301614,302164,36.048584386457364
301614,302187,23.545176926279286
301614,303169,17.160169228094215
301614,303540,23.15629686578453
301614,304137,31.7990820577472
301614,306060,7.0027233455830755
301614,306224,25.717312053774894
301614,306279,33.73367119187093
301614,306369,32.772671615955076
301614,306450,1.4201489158837235
301614,308269,2.3200623941553222
301614,308471,37.57234444352187
301614,308806,33.41282672295723
301614,310504,4.91455987255754
301636,306489,22.819949194201346
301636,309569,9.725407697552281
301636,310199,23.27031604756582
301637,301745,5.071465608722697
301637,302164,15.747079355043711
301637,302297,7.923532693537265
301637,306091,7.77082807880052
301637,309156,6.841037146752853
301637,309758,14.042116781349488
301745,306444,1.5586940852501834
301745,306623,9.30722639155947
301745,306844,19.232556381234122
301745,308786,1.982818528837312
301745,310204,14.284626018254649
302164,302297,13.402111569790618
302164,303169,19.046709385539668
302164,303540,14.247976532285596
302164,304137,7.585870163749799
302164,304450,21.21323450294269
302164,306091,13.249406955053866
302164,306279,53.25652967730015
302164,306450,34.82228351688061
302164,306844,5.435676032893881
302164,308471,11.041760880693273
302164,309042,38.98628277805072
302164,309156,10.656616472062076
302164,309758,5.380556615994388
302164,310179,15.993059839532547
302171,308494,30.231078005421136
302171,308786,21.56649007620865
302171,309663,10.73078845011627
302187,303169,9.952318295305735
302187,306060,18.00817368664192
302187,306224,5.609901879753033
302187,306279,26.68416903993094
302187,306369,12.284831601031856
302187,306450,24.347091170837334
302187,307039,8.94472292722904
302297,306091,1.4393434185676224
302297,309156,4.4960693614997576
302297,309758,11.697148996096393
302798,306060,11.919443467896084
302798,307785,2.9332238313549426
302798,308907,6.0330845379904625
302798,310504,12.406114131669012
302923,303344,0.4332639238034672
302923,309703,2.459448752244902
303099,303899,7.19221544609699
303099,305885,6.251641361333832
303169,303540,6.013243185797002
303169,304137,14.797207056829462
303169,304450,13.56707944802365
303169,306060,11.319874941181215
303169,306279,34.36811451893703
303169,306450,17.962083472652267
303169,306844,15.72998020439984
303169,307274,8.837944368539338
303169,308471,20.570469442604157
303169,308806,16.4109517220395
303169,309042,23.042380305303478
303169,310179,15.445661919927913
303303,308471,2.852093273276536
303344,305780,0.8879405096420163
303344,309553,3.0706239072493036
303344,309703,2.5536437862777714
303371,305984,15.94761666596407
303371,306489,58.9341252369355
303371,310199,58.32346444986524
303540,304137,9.998474203575405
303540,304450,19.115606718563523
303540,306279,40.36424215662736
303540,306450,23.684663780153507
303540,306844,12.705361045162999
303540,308471,15.771736589350107
303540,308806,11.612218868785444
303540,309042,27.84866304132361
303540,309758,18.093055833537278
303540,310179,16.553368425072133
303620,308991,4.811090326998903
303620,309843,14.334136241013791
303899,308206,2.952940390057267
304073,306623,5.41447110533073
304073,307373,45.80715353603437
304073,308269,12.421992018884563
304073,309042,15.93709796620772
304073,310179,18.08238536306491
304137,304450,14.48732695121143
304137,306279,49.00702734858997
304137,306450,30.572781188170428
304137,306844,6.0432546766272015
304137,308471,9.109630220814308
304137,308806,4.9501125002496495
304137,309042,34.736780449340536
304137,309758,11.430949465001476
304137,310179,9.267152287801295
304450,306844,19.66153449101534
304450,307039,25.572927422093223
304450,308367,1.608269279359862
304450,308471,22.72791003520244
304450,308540,1.5589838672594114
304450,308806,18.56839231463779
304450,309758,25.049229279389607
304450,310179,7.704201753942966
305984,307564,9.119575815029952
306060,306224,20.180308814137526
306060,306279,27.30374604891195
306060,306369,27.23566837631771
306060,306450,8.196546420901795
306060,308269,7.866374827658555
306060,308907,8.579357692475984
306060,310504,4.1508145709157125
306091,309156,4.34336474676301
306091,309758,11.544444381359646
306224,306279,31.53709351244382
306224,306450,26.519226298332946
306224,307039,10.156539546807
306279,306369,28.981986911180943
306279,306450,34.53558543642898
306279,307039,33.89037991398883
306279,308471,54.78028973436471
306279,308806,50.62077201379999
306369,306450,33.57458586051313
306369,307039,19.491042475089753
306369,307564,35.41078646769225
306444,306844,18.85550225544226
306444,308786,0.5803725849260367
306444,310204,13.907571892462787
306450,306844,33.279668029758014
306450,308471,36.34604357394511
306450,308806,32.18652585338047
306450,309042,6.872776533812244
306450,309758,38.66736281813228
306489,309569,16.157741717554902
306489,310199,1.266799173701971
306768,307693,25.125479434831966
306768,308206,3.0736326950951915
306844,308471,6.450313407837931
306844,308786,19.27962669902939
306844,308806,1.3958202934805441
306844,309042,37.44366729092812
306844,309156,8.87013945990595
306844,309758,6.634616336407726
306844,310179,14.4413598276052
306844,310204,6.292780964195216
307039,307373,1.0310529343281862
307039,310179,27.421890938767895
307373,308269,35.02951762847134
307373,309042,38.99816334620089
307512,307785,18.37404052926988
307512,308494,0.39712759292540445
307557,309703,2.919829268790534
307564,308907,11.084975476357123
307693,309569,12.824118974415763
307693,310199,4.8090203072821875
307785,310527,18.2665225103445
307832,310204,1.3137301972472382
308269,309042,4.2235429233455655
308269,310504,4.868745304253524
308367,309853,1.296396600815507
308471,308806,5.134890344413389
308471,309042,40.510042835115236
308471,309156,14.459924789682853
308471,310179,17.50773537179231
308471,310204,11.222219788566592
308494,308786,48.83652907672098
308494,309569,17.105769793537657
308494,309663,38.0008274506286
308581,309853,7.682044613296068
308581,310179,4.05933965083545
308786,309663,14.811343468129326
308786,310204,14.331696336049916
308806,309042,36.350525114550564
308806,309156,10.252809628342352
308806,310179,13.348217651227644
308907,310504,9.066028356248909
309042,309758,42.83136207930241
309042,310527,3.3665338896194776
309156,309758,8.95165389836785
309156,310204,3.469836037897584
309553,309703,1.9053144806080422
309569,310199,16.608108570919384
309758,310179,19.82905461597947
309853,310179,6.776860419004168
