fid,OBJECTID_1,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER,layer,path,MAX_VOLT_N,MIN_VOLT_N,HIFLD_ID,Owner,voltage_for_fragility,fragility_class,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4,mu_DS1_old,mu_DS2_old,mu_DS3_old,mu_DS4_old,beta_DS1_old,beta_DS2_old,beta_DS3_old,beta_DS4_old,COUNTY_N,CITY_N,id,PGA_Northridge,PGA_SanFernando,PGA_LongBeach,PGA_2pc50
3261,72688,72688,308367,FUEL,LONG BEACH,CA,90802,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.7646608260001,-118.2266652,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435536000000,IMAGERY/OTHER,1435536000000,1,230,66,Y,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,308367,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LONG BEACH,308367,0.10264664368434417,0.05761473592367633,0.3093829033909756,0.7769085489019559
296,64880,64880,300558,GANESHA,POMONA,CA,91766,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.0574999250001,-117.775418,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,5,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,66,66,300558,SCE,66,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,POMONA,300558,0.09622067716124534,0.08709942828888717,0.07840174273318556,0.9022970777829041
1382,67693,67693,303371,GOODRICH,PASADENA,CA,91107,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1513934450001,-118.0879858,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433376000000,IMAGERY/OTHER,1433376000000,5,230,66,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,303371,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,PASADENA,303371,0.18157780689006833,0.17913310666574214,0.07463710859153375,1.0694756721292902
401,65151,65151,300829,GOULD,LA CA?ADA FLINTRIDGE,CA,91011,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.2215873580001,-118.1870653,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1433376000000,IMAGERY/OTHER,1433376000000,2,230,230,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,230,300829,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LA CA ADA FLINTRIDGE,300829,0.19638915973047436,0.2545916009742705,0.04893493380483536,0.9325877892704797
2573,70944,70944,306623,GRAMERCY,LOS ANGELES,CA,90047,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.9464505350001,-118.3128075,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Environmental Protection Agency http://www.swrcb.ca.gov/water_issues/programs/ocean/cwa316/docs/energy_comp/10yta_2012_5.pdf,1435190400000,IMAGERY/OTHER,1435190400000,6,138,138,N,N,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,138,138,306623,LADWP,138,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,LOS ANGELES,306623,0.16719087309690142,0.09091998729027875,0.26016226577702145,0.9061729778961233
2922,71833,71833,307512,GRAYSON,GLENDALE,CA,91201,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.1556333130001,-118.2774902,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,2,230,66,Y,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,307512,Other,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,GLENDALE,307512,0.32816488010221767,0.26575245665834346,0.07353673146611435,0.9599032876707899
1663,68459,68459,304137,HALLDALE,LOS ANGELES,CA,90501,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.84773309,-118.3034261,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Environmental Protection Agency http://www.swrcb.ca.gov/water_issues/programs/ocean/cwa316/docs/energy_comp/10yta_2012_5.pdf,1435536000000,IMAGERY/OTHER,1435536000000,3,138,-999999,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,138,999999,304137,LADWP,138,low,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,LOS ANGELES,LOS ANGELES,304137,0.12163102980099735,0.08957953493880204,0.3662776173999855,0.8747935292881072
1783,68772,68772,304450,HARBORGEN,LOS ANGELES,CA,90813,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.7788659230001,-118.2273228,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,Southern California Edison http://preview.tinyurl.com/q9vuye2,1433376000000,IMAGERY/OTHER,1433376000000,4,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,304450,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LOS ANGELES,304450,0.10089337251044937,0.06029354456537753,0.3320837935703355,0.77767661865379
2876,71694,71694,307373,HAYNES,LONG BEACH,CA,90803,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.7635279720001,-118.0963236,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Ocean Protection Council http://www.opc.ca.gov/webmaster/ftp/project_pages/OTC/engineering%20study/Chapter_7F_Haynes_Generating_Station.pdf,1474934400000,IMAGERY/OTHER,1474934400000,6,230,66,N,N,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,230,66,307373,LADWP,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LONG BEACH,307373,0.11477410620312403,0.05912306322774709,0.5476623189655863,0.725767747161281
227,64712,64712,300390,HINSON,LONG BEACH,CA,90810,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.81929087,-118.2224872,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1475452800000,IMAGERY/OTHER,1475452800000,7,230,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,230,66,300390,SCE,230,medium,0.15,0.25,0.35,0.7,0.6,0.5,0.4,0.4,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.4,LOS ANGELES,LONG BEACH,300390,0.1025688405015298,0.0752963582769193,0.438004274249879,0.7700037159883386
